Sample Name	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Assay Name	Protocol REF	Data Transformation Name
Sample RO33	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample RO33 SNP Chip Assay	sequence analysis data transformation	RO33 (Sequence Variations)
Sample M24	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample M24 SNP Chip Assay	sequence analysis data transformation	M24 (Sequence Variations)
Sample CF04.008_12G	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample CF04.008_12G SNP Chip Assay	sequence analysis data transformation	CF04.008_12G (Sequence Variations)
Sample CF04.008_1F	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample CF04.008_1F SNP Chip Assay	sequence analysis data transformation	CF04.008_1F (Sequence Variations)
Sample CF04.009	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample CF04.009 SNP Chip Assay	sequence analysis data transformation	CF04.009 (Sequence Variations)
Sample CF04.010	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample CF04.010 SNP Chip Assay	sequence analysis data transformation	CF04.010 (Sequence Variations)
Sample PS189	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample PS189 SNP Chip Assay	sequence analysis data transformation	PS189 (Sequence Variations)
Sample APO41	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample APO41 SNP Chip Assay	sequence analysis data transformation	APO41 (Sequence Variations)
Sample SenP05.02	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenP05.02 SNP Chip Assay	sequence analysis data transformation	SenP05.02 (Sequence Variations)
Sample SenP08.04	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenP08.04 SNP Chip Assay	sequence analysis data transformation	SenP08.04 (Sequence Variations)
Sample SenP09.04	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenP09.04 SNP Chip Assay	sequence analysis data transformation	SenP09.04 (Sequence Variations)
Sample SenP11.02	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenP11.02 SNP Chip Assay	sequence analysis data transformation	SenP11.02 (Sequence Variations)
Sample SenP19.04	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenP19.04 SNP Chip Assay	sequence analysis data transformation	SenP19.04 (Sequence Variations)
Sample SenP26.04	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenP26.04 SNP Chip Assay	sequence analysis data transformation	SenP26.04 (Sequence Variations)
Sample SenP27.02	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenP27.02 SNP Chip Assay	sequence analysis data transformation	SenP27.02 (Sequence Variations)
Sample SenP31.01	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenP31.01 SNP Chip Assay	sequence analysis data transformation	SenP31.01 (Sequence Variations)
Sample SenP51.02	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenP51.02 SNP Chip Assay	sequence analysis data transformation	SenP51.02 (Sequence Variations)
Sample SenP60.02	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenP60.02 SNP Chip Assay	sequence analysis data transformation	SenP60.02 (Sequence Variations)
Sample SenT10.04	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenT10.04 SNP Chip Assay	sequence analysis data transformation	SenT10.04 (Sequence Variations)
Sample SenT15.04	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenT15.04 SNP Chip Assay	sequence analysis data transformation	SenT15.04 (Sequence Variations)
Sample SenT26.04	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenT26.04 SNP Chip Assay	sequence analysis data transformation	SenT26.04 (Sequence Variations)
Sample SenT28.04	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenT28.04 SNP Chip Assay	sequence analysis data transformation	SenT28.04 (Sequence Variations)
Sample SenV34.04	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenV34.04 SNP Chip Assay	sequence analysis data transformation	SenV34.04 (Sequence Variations)
Sample SenV35.04	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenV35.04 SNP Chip Assay	sequence analysis data transformation	SenV35.04 (Sequence Variations)
Sample SenV42.05	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample SenV42.05 SNP Chip Assay	sequence analysis data transformation	SenV42.05 (Sequence Variations)
Sample D6	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample D6 SNP Chip Assay	sequence analysis data transformation	D6 (Sequence Variations)
Sample 51	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 51 SNP Chip Assay	sequence analysis data transformation	51 (Sequence Variations)
Sample 608	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 608 SNP Chip Assay	sequence analysis data transformation	608 (Sequence Variations)
Sample 10_54	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 10_54 SNP Chip Assay	sequence analysis data transformation	10_54 (Sequence Variations)
Sample 365_89	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample 365_89 SNP Chip Assay	sequence analysis data transformation	365_89 (Sequence Variations)
