Sample Name	Protocol REF	Protocol REF	Assay Name	Protocol REF	Protocol REF	Data Transformation Name
SenT029.09	DNA extraction	DNA Sequencing	SenT029.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT029.09 (Sequence Variation)
SenT032.09	DNA extraction	DNA Sequencing	SenT032.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT032.09 (Sequence Variation)
SenT090.08	DNA extraction	DNA Sequencing	SenT090.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT090.08 (Sequence Variation)
SenT093.09	DNA extraction	DNA Sequencing	SenT093.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT093.09 (Sequence Variation)
SenT127.09	DNA extraction	DNA Sequencing	SenT127.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT127.09 (Sequence Variation)
SenT139.08	DNA extraction	DNA Sequencing	SenT139.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT139.08 (Sequence Variation)
SenT140.08	DNA extraction	DNA Sequencing	SenT140.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT140.08 (Sequence Variation)
SenT145.08	DNA extraction	DNA Sequencing	SenT145.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT145.08 (Sequence Variation)
SenT175.08	DNA extraction	DNA Sequencing	SenT175.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT175.08 (Sequence Variation)
SenT190.08	DNA extraction	DNA Sequencing	SenT190.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT190.08 (Sequence Variation)
SenT197.08	DNA extraction	DNA Sequencing	SenT197.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT197.08 (Sequence Variation)
SenT238.08	DNA extraction	DNA Sequencing	SenT238.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT238.08 (Sequence Variation)
SenT015.08	DNA extraction	DNA Sequencing	SenT015.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT015.08 (Sequence Variation)
SenT018.09	DNA extraction	DNA Sequencing	SenT018.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT018.09 (Sequence Variation)
SenT021.09	DNA extraction	DNA Sequencing	SenT021.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT021.09 (Sequence Variation)
SenT024.08	DNA extraction	DNA Sequencing	SenT024.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT024.08 (Sequence Variation)
SenT037.08	DNA extraction	DNA Sequencing	SenT037.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT037.08 (Sequence Variation)
SenT044.08	DNA extraction	DNA Sequencing	SenT044.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT044.08 (Sequence Variation)
SenT090.09	DNA extraction	DNA Sequencing	SenT090.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT090.09 (Sequence Variation)
SenT101.09	DNA extraction	DNA Sequencing	SenT101.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT101.09 (Sequence Variation)
SenT137.08	DNA extraction	DNA Sequencing	SenT137.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT137.08 (Sequence Variation)
SenT142.09	DNA extraction	DNA Sequencing	SenT142.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT142.09 (Sequence Variation)
SenT144.08	DNA extraction	DNA Sequencing	SenT144.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT144.08 (Sequence Variation)
SenT227.08	DNA extraction	DNA Sequencing	SenT227.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT227.08 (Sequence Variation)
SenT022.09	DNA extraction	DNA Sequencing	SenT022.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT022.09 (Sequence Variation)
SenT179.08	DNA extraction	DNA Sequencing	SenT179.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT179.08 (Sequence Variation)
SenT033.08	DNA extraction	DNA Sequencing	SenT033.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT033.08 (Sequence Variation)
SenT230.08	DNA extraction	DNA Sequencing	SenT230.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT230.08 (Sequence Variation)
SenT042.09	DNA extraction	DNA Sequencing	SenT042.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT042.09 (Sequence Variation)
SenT137.09	DNA extraction	DNA Sequencing	SenT137.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT137.09 (Sequence Variation)
SenT112.09	DNA extraction	DNA Sequencing	SenT112.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT112.09 (Sequence Variation)
SenT135.09	DNA extraction	DNA Sequencing	SenT135.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT135.09 (Sequence Variation)
SenT063.07	DNA extraction	DNA Sequencing	SenT063.07 DNASeq Assay	data collection	sequence analysis data transformation	SenT063.07 (Sequence Variation)
SenT064.10	DNA extraction	DNA Sequencing	SenT064.10 DNASeq Assay	data collection	sequence analysis data transformation	SenT064.10 (Sequence Variation)
SenT075.10	DNA extraction	DNA Sequencing	SenT075.10 DNASeq Assay	data collection	sequence analysis data transformation	SenT075.10 (Sequence Variation)
SenT047.09	DNA extraction	DNA Sequencing	SenT047.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT047.09 (Sequence Variation)
SenT077.08	DNA extraction	DNA Sequencing	SenT077.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT077.08 (Sequence Variation)
SenT066.08	DNA extraction	DNA Sequencing	SenT066.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT066.08 (Sequence Variation)
SenT046.10	DNA extraction	DNA Sequencing	SenT046.10 DNASeq Assay	data collection	sequence analysis data transformation	SenT046.10 (Sequence Variation)
SenT033.09	DNA extraction	DNA Sequencing	SenT033.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT033.09 (Sequence Variation)
SenT084.09	DNA extraction	DNA Sequencing	SenT084.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT084.09 (Sequence Variation)
SenT092.08	DNA extraction	DNA Sequencing	SenT092.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT092.08 (Sequence Variation)
SenT002.07	DNA extraction	DNA Sequencing	SenT002.07 DNASeq Assay	data collection	sequence analysis data transformation	SenT002.07 (Sequence Variation)
SenT001.07	DNA extraction	DNA Sequencing	SenT001.07 DNASeq Assay	data collection	sequence analysis data transformation	SenT001.07 (Sequence Variation)
SenT015.09	DNA extraction	DNA Sequencing	SenT015.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT015.09 (Sequence Variation)
SenT044.10	DNA extraction	DNA Sequencing	SenT044.10 DNASeq Assay	data collection	sequence analysis data transformation	SenT044.10 (Sequence Variation)
SenT002.09	DNA extraction	DNA Sequencing	SenT002.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT002.09 (Sequence Variation)
SenT110.09	DNA extraction	DNA Sequencing	SenT110.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT110.09 (Sequence Variation)
SenT111.09	DNA extraction	DNA Sequencing	SenT111.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT111.09 (Sequence Variation)
SenT087.08	DNA extraction	DNA Sequencing	SenT087.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT087.08 (Sequence Variation)
SenT170.08	DNA extraction	DNA Sequencing	SenT170.08 DNASeq Assay	data collection	sequence analysis data transformation	SenT170.08 (Sequence Variation)
SenT067.09	DNA extraction	DNA Sequencing	SenT067.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT067.09 (Sequence Variation)
SenT123.09	DNA extraction	DNA Sequencing	SenT123.09 DNASeq Assay	data collection	sequence analysis data transformation	SenT123.09 (Sequence Variation)
