Source Name	Comment[description]	Comment[source_id]	Characteristics[strain]	Characteristics[organism]	Characteristics[country]	Characteristics[geographic location]	Characteristics[host organism]	Characteristics[environmental feature]	Characteristics[haplogroup]	Characteristics[year]	Parameter Value[collection date]	Characteristics[ATCC #]	Raw Data File	Raw Data File
ARI	Toxoplasma gondii ARI whole genome,Human(transplant), Illumina reads submitted to SRA	SRX099777	ARI	Toxoplasma gondii	USA	USA	Human	unknown	12	1992	1992	50872	ARI	ARI.paired
CAST	Toxoplasma gondii CAST whole genome,Human(AIDS), Illumina reads submitted to SRA	SRX099788	CAST	Toxoplasma gondii	USA	USA, CA	Human	unknown	7	1988	1988	50868	CAST	CAST.paired
COUG	Toxoplasma gondii COUG whole genome, Illumina reads submitted to SRA	SRX099786	COUG	Toxoplasma gondii	Canada	Canada, BC	Cougar	unknown	11	1996	1996	unknown	COUG	COUG.paired
FOU	Toxoplasma gondii FOU whole genome,Human(transplant), Illumina reads submitted to SRA	SRX038725	FOU	Toxoplasma gondii	France	France	Human	unknown	6a	1992	1992	50869	FOU	FOU.paired
GAB2-2007-GAL-DOM2	Toxoplasma gondii GAB2-2007-GAL-DOM2 whole genome, Illumina reads submitted to SRA	SRX156037	GAB2-2007-GAL-DOM2	Toxoplasma gondii	Gabon	Gabon, Makokou	Chicken	unknown	14	2007	2007	unknown	GAB2-2007-GAL-DOM2	GAB2-2007-GAL-DOM2.paired
GT1	Toxoplasma gondii GT1 whole genome, Illumina reads submitted to SRA	SRX156314	GT1	Toxoplasma gondii	USA	USA, CA	Sheep	unknown	1	1980	1980	unknown	GT1	GT1.paired
MAS	Toxoplasma gondii MAS whole genome,Human(congenital,) Illumina reads submitted to SRA	SRX038728	MAS	Toxoplasma gondii	France	France	Human	unknown	4	1991	1991	50870	MAS	MAS.paired
p89	Toxoplasma gondii p89 whole genome, Illumina reads submitted to SRA	SRX038727	p89	Toxoplasma gondii	USA	USA, Iowa	Pig	unknown	9	1991	1991	50879	p89	p89.paired
RUB	Toxoplasma gondii RUB whole genome,Human(adult), Illumina reads submitted to SRA	SRX099773	RUB	Toxoplasma gondii	French Guyana	French Guyana	Human	unknown	5	1992	1992	unknown	RUB	RUB.paired
TgCat_PRC2	Toxoplasma gondii wTgCat PRC2 hole genome, Illumina reads submitted to SRA	SRX156168	TgCat PRC2	Toxoplasma gondii	China	China	Cat	unknown	13	2007	2007	unknown	TgCat_PRC2	TgCat_PRC2.paired
TgCATBr5	Toxoplasma gondii TgCATBr5 whole genome, Illumina reads submitted to SRA	SRX099795	TgCATBr5	Toxoplasma gondii	Brazil	Brazil	Cat	unknown	8	2006	2006	unknown	TgCATBr5	TgCATBr5.paired
TgCATBr9	Toxoplasma gondii TgCATBr5 whole genome, Illumina reads submitted to SRA	SRX099781	TgCATBr9	Toxoplasma gondii	Brazil	Brazil	Cat	unknown	6b	2006	2006	unknown	TgCATBr9	TgCATBr9.paired
TgCtCo5	Toxoplasma gondii TgCtCo5 whole genome, Illumina reads submitted to SRA	SRX156192	TgCtCo5	Toxoplasma gondii	Columbia	Columbia, Bogota	Cat	unknown	15	2006	2006	unknown	TgCtCo5	TgCtCo5.paired
