Source Name	Comment[description]	Comment[source_id]	Characteristics[strain]	Characteristics[organism]	Characteristics[geographic location]	Characteristics[country]	Characteristics[host organism]	Characteristics[year]	Parameter Value[collection date]	Raw Data File	Raw Data File
g33	NGS SNPs on Giardia assemblageE g33	g33	g33	Giardia Assemblage E g33	Australia	Australia	Calf	1993	93-06-08	g33	g33.paired
C4	NGS SNPs on Giardia assemblageA C4	C4	C4	Giardia Assemblage A C4	Afghanistan	Afghanistan	Human	unknown	unknown	C4	C4.paired
C6	NGS SNPs on Giardia assemblageA C6	C6	C6	Giardia Assemblage A C6	Afghanistan	Afghanistan	Human	unknown	unknown	C6	C6.paired
g2	NGS SNPs on Giardia assemblageA g2	g2	g2	Giardia Assemblage A g2	Australia	Australia	Human	1994	94-10-10	g2	g2.paired
g3	NGS SNPs on Giardia assemblageA g3	g3	g3	Giardia Assemblage A g3	Australia	Australia	Human	1994	94-8-25	g3	g3.paired
g4	NGS SNPs on Giardia assemblageA g4	g4	g4	Giardia Assemblage A g4	Australia	Australia	Human	2000	00-01-26	g4	g4.paired
g5	NGS SNPs on Giardia assemblageA g5	g5	g5	Giardia Assemblage A g5	unknown	unknown	Cat	1991	91-08-29	g5	g5.paired
g6	NGS SNPs on Giardia assemblageA g6	g6	g6	Giardia Assemblage A g6	unknown	unknown	Cat	1991	91-04-01	g6	g6.paired
g7	NGS SNPs on Giardia assemblageA g7	g7	g7	Giardia Assemblage A g7	Australia	Australia	Human	1992	92-03-11	g7	g7.paired
g8	NGS SNPs on Giardia assemblageA g8	g8	g8	Giardia Assemblage A g8	Australia	Australia	Human	1992	92-04-01	g8	g8.paired
g9	NGS SNPs on Giardia assemblageA g9	g9	g9	Giardia Assemblage A g9	Canada	Canada	Sheep	1991	91-09-02	g9	g9.paired
g10	NGS SNPs on Giardia assemblageA g10	g10	g10	Giardia Assemblage A g10	Canada	Canada	Sheep	1991	91-08-13	g10	g10.paired
