Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[GAZ_00000448]	Term Source REF	Term Accession Number	Characteristics[OBI_0100026]	Term Source REF	Term Accession Number	Characteristics[OPL_0000232]	Protocol REF	Sample Name	Description	Material Type	Term Source REF	Term Accession Number	Protocol REF	Extract Name	Material Type	Term Source REF	Term Accession Number
Subject 1	host organism	GO	GO_0018995	Honduras	GAZ	GAZ_00002894	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum HB3	sample collection	EUSMPL0002-1.1	Sample HB3	sample from organism	OBI	OBI_0000671	extraction	Extract HB3	DNA extract	OBI	OBI_0001051
Subject 2	host organism	GO	GO_0018995	Honduras	GAZ	GAZ_00002894	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum HB3	sample collection	EUSMPL0002-1.2	Sample HB3_repeat	sample from organism	OBI	OBI_0000671	extraction	Extract HB3_repeat	DNA extract	OBI	OBI_0001051
Subject 3	host organism	GO	GO_0018995	Netherlands	GAZ	GAZ_00001549	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum 3D7	sample collection	EUSMPL0002-1.3	Sample 3D7_1	sample from organism	OBI	OBI_0000671	extraction	Extract 3D7_1	DNA extract	OBI	OBI_0001051
Subject 4	host organism	GO	GO_0018995	Laos, Indochina	GAZ	GAZ_00006889	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum Dd2	sample collection	EUSMPL0002-1.4	Sample Dd2	sample from organism	OBI	OBI_0000671	extraction	Extract Dd2	DNA extract	OBI	OBI_0001051
Subject 5	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum K1	sample collection	EUSMPL0002-1.5	Sample K1	sample from organism	OBI	OBI_0000671	extraction	Extract K1	DNA extract	OBI	OBI_0001051
Subject 6	host organism	GO	GO_0018995	Brazil	GAZ	GAZ_00002828	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum 7G8	sample collection	EUSMPL0002-1.6	Sample 7G8	sample from organism	OBI	OBI_0000671	extraction	Extract 7G8	DNA extract	OBI	OBI_0001051
Subject 7	host organism	GO	GO_0018995	Vietnam	GAZ	GAZ_00003756	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum V1_S	sample collection	EUSMPL0002-1.7	Sample V1_S	sample from organism	OBI	OBI_0000671	extraction	Extract V1_S	DNA extract	OBI	OBI_0001051
Subject 8	host organism	GO	GO_0018995	Papua New Guinea	GAZ	GAZ_00003922	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum D10	sample collection	EUSMPL0002-1.8	Sample D10	sample from organism	OBI	OBI_0000671	extraction	Extract D10	DNA extract	OBI	OBI_0001051
Subject 9	host organism	GO	GO_0018995	Malaysia	GAZ	GAZ_00003902	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum Malayan	sample collection	EUSMPL0002-1.9	Sample Malayan	sample from organism	OBI	OBI_0000671	extraction	Extract Malayan	DNA extract	OBI	OBI_0001051
Subject 10	host organism	GO	GO_0018995	El Salvador	GAZ	GAZ_00002935	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum SantaLucia	sample collection	EUSMPL0002-1.10	Sample SantaLucia	sample from organism	OBI	OBI_0000671	extraction	Extract SantaLucia	DNA extract	OBI	OBI_0001051
Subject 11	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum SenP31.01	sample collection	EUSMPL0002-1.11	Sample SenP31.01	sample from organism	OBI	OBI_0000671	extraction	Extract SenP31.01	DNA extract	OBI	OBI_0001051
Subject 12	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum SenV34.04	sample collection	EUSMPL0002-1.12	Sample SenV34.04	sample from organism	OBI	OBI_0000671	extraction	Extract SenV34.04	DNA extract	OBI	OBI_0001051
Subject 13	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum SenV35.04	sample collection	EUSMPL0002-1.13	Sample SenV35.04	sample from organism	OBI	OBI_0000671	extraction	Extract SenV35.04	DNA extract	OBI	OBI_0001051
