Extract Name	Protocol REF	Protocol REF		Assay Name	Protocol REF	Data Transformation Name
Extract RO33	labeling	nucleic acid hybridization		RO33 SNP Chip Assay	sequence analysis data transformation	RO33 (Sequence Variations)
Extract M24	labeling	nucleic acid hybridization		M24 SNP Chip Assay	sequence analysis data transformation	M24 (Sequence Variations)
Extract CF04.008_12G	labeling	nucleic acid hybridization		CF04.008_12G SNP Chip Assay	sequence analysis data transformation	CF04.008_12G (Sequence Variations)
Extract CF04.008_1F	labeling	nucleic acid hybridization		CF04.008_1F SNP Chip Assay	sequence analysis data transformation	CF04.008_1F (Sequence Variations)
Extract CF04.009	labeling	nucleic acid hybridization		CF04.009 SNP Chip Assay	sequence analysis data transformation	CF04.009 (Sequence Variations)
Extract CF04.010	labeling	nucleic acid hybridization		CF04.010 SNP Chip Assay	sequence analysis data transformation	CF04.010 (Sequence Variations)
Extract PS189	labeling	nucleic acid hybridization		PS189 SNP Chip Assay	sequence analysis data transformation	PS189 (Sequence Variations)
Extract APO41	labeling	nucleic acid hybridization		APO41 SNP Chip Assay	sequence analysis data transformation	APO41 (Sequence Variations)
Extract SenP05.02	labeling	nucleic acid hybridization		SenP05.02 SNP Chip Assay	sequence analysis data transformation	SenP05.02 (Sequence Variations)
Extract SenP08.04	labeling	nucleic acid hybridization		SenP08.04 SNP Chip Assay	sequence analysis data transformation	SenP08.04 (Sequence Variations)
Extract SenP09.04	labeling	nucleic acid hybridization		SenP09.04 SNP Chip Assay	sequence analysis data transformation	SenP09.04 (Sequence Variations)
Extract SenP11.02	labeling	nucleic acid hybridization		SenP11.02 SNP Chip Assay	sequence analysis data transformation	SenP11.02 (Sequence Variations)
Extract SenP19.04	labeling	nucleic acid hybridization		SenP19.04 SNP Chip Assay	sequence analysis data transformation	SenP19.04 (Sequence Variations)
Extract SenP26.04	labeling	nucleic acid hybridization		SenP26.04 SNP Chip Assay	sequence analysis data transformation	SenP26.04 (Sequence Variations)
Extract SenP27.02	labeling	nucleic acid hybridization		SenP27.02 SNP Chip Assay	sequence analysis data transformation	SenP27.02 (Sequence Variations)
Extract SenP31.01	labeling	nucleic acid hybridization		SenP31.01 SNP Chip Assay	sequence analysis data transformation	SenP31.01 (Sequence Variations)
Extract SenP51.02	labeling	nucleic acid hybridization		SenP51.02 SNP Chip Assay	sequence analysis data transformation	SenP51.02 (Sequence Variations)
Extract SenP60.02	labeling	nucleic acid hybridization		SenP60.02 SNP Chip Assay	sequence analysis data transformation	SenP60.02 (Sequence Variations)
Extract SenT10.04	labeling	nucleic acid hybridization		SenT10.04 SNP Chip Assay	sequence analysis data transformation	SenT10.04 (Sequence Variations)
Extract SenT15.04	labeling	nucleic acid hybridization		SenT15.04 SNP Chip Assay	sequence analysis data transformation	SenT15.04 (Sequence Variations)
Extract SenT26.04	labeling	nucleic acid hybridization		SenT26.04 SNP Chip Assay	sequence analysis data transformation	SenT26.04 (Sequence Variations)
Extract SenT28.04	labeling	nucleic acid hybridization		SenT28.04 SNP Chip Assay	sequence analysis data transformation	SenT28.04 (Sequence Variations)
