Extract Name	Protocol REF	Protocol REF	Assay Name	Protocol REF	Data Transformation Name
Extract 3D7	labeling	nucleic acid hybridization	3D7 SNP Chip Assay	sequence analysis data transformation	3D7 (Sequence Variations)
Extract HB3	labeling	nucleic acid hybridization	HB3 SNP Chip Assay	sequence analysis data transformation	HB3 (Sequence Variations)
Extract Dd2	labeling	nucleic acid hybridization	Dd2 SNP Chip Assay	sequence analysis data transformation	Dd2 (Sequence Variations)
Extract 7G8	labeling	nucleic acid hybridization	7G8 SNP Chip Assay	sequence analysis data transformation	7G8 (Sequence Variations)
Extract D10	labeling	nucleic acid hybridization	D10 SNP Chip Assay	sequence analysis data transformation	D10 (Sequence Variations)
Extract D6	labeling	nucleic acid hybridization	D6 SNP Chip Assay	sequence analysis data transformation	D6 (Sequence Variations)
Extract K1	labeling	nucleic acid hybridization	K1 SNP Chip Assay	sequence analysis data transformation	K1 (Sequence Variations)
Extract RO-33	labeling	nucleic acid hybridization	RO-33 SNP Chip Assay	sequence analysis data transformation	RO-33 (Sequence Variations)
Extract Santa Lucia	labeling	nucleic acid hybridization	Santa Lucia SNP Chip Assay	sequence analysis data transformation	Santa Lucia (Sequence Variations)
Extract Senegal P31.01	labeling	nucleic acid hybridization	Senegal P31.01 SNP Chip Assay	sequence analysis data transformation	Senegal P31.01 (Sequence Variations)
Extract Senegal P51.02	labeling	nucleic acid hybridization	Senegal P51.02 SNP Chip Assay	sequence analysis data transformation	Senegal P51.02 (Sequence Variations)
Extract Senegal V34.04	labeling	nucleic acid hybridization	Senegal V34.04 SNP Chip Assay	sequence analysis data transformation	Senegal V34.04 (Sequence Variations)
Extract Senegal V35.04	labeling	nucleic acid hybridization	Senegal V35.04 SNP Chip Assay	sequence analysis data transformation	Senegal V35.04 (Sequence Variations)
Extract V1/S	labeling	nucleic acid hybridization	V1/S SNP Chip Assay	sequence analysis data transformation	V1/S (Sequence Variations)
Extract Malayan Camp	labeling	nucleic acid hybridization	Malayan Camp SNP Chip Assay	sequence analysis data transformation	Malayan Camp (Sequence Variations)
Extract 51	labeling	nucleic acid hybridization	51 SNP Chip Assay	sequence analysis data transformation	51 (Sequence Variations)
Extract 608	labeling	nucleic acid hybridization	608 SNP Chip Assay	sequence analysis data transformation	608 (Sequence Variations)
Extract 10/10B	labeling	nucleic acid hybridization	10/10B SNP Chip Assay	sequence analysis data transformation	10/10B (Sequence Variations)
Extract 10_54	labeling	nucleic acid hybridization	10_54 SNP Chip Assay	sequence analysis data transformation	10_54 (Sequence Variations)
Extract 207_89	labeling	nucleic acid hybridization	207_89 SNP Chip Assay	sequence analysis data transformation	207_89 (Sequence Variations)
Extract 35_26	labeling	nucleic acid hybridization	35_26 SNP Chip Assay	sequence analysis data transformation	35_26 (Sequence Variations)
Extract 36_89	labeling	nucleic acid hybridization	36_89 SNP Chip Assay	sequence analysis data transformation	36_89 (Sequence Variations)
Extract 365_89	labeling	nucleic acid hybridization	365_89 SNP Chip Assay	sequence analysis data transformation	365_89 (Sequence Variations)
Extract 9_411	labeling	nucleic acid hybridization	9_411 SNP Chip Assay	sequence analysis data transformation	9_411 (Sequence Variations)
Extract APO41	labeling	nucleic acid hybridization	APO41 SNP Chip Assay	sequence analysis data transformation	APO41 (Sequence Variations)
Extract FCC-2	labeling	nucleic acid hybridization	FCC-2 SNP Chip Assay	sequence analysis data transformation	FCC-2 (Sequence Variations)
Extract GH2	labeling	nucleic acid hybridization	GH2 SNP Chip Assay	sequence analysis data transformation	GH2 (Sequence Variations)
Extract IGHCR14	labeling	nucleic acid hybridization	IGHCR14 SNP Chip Assay	sequence analysis data transformation	IGHCR14 (Sequence Variations)
Extract Indochina I	labeling	nucleic acid hybridization	Indochina I SNP Chip Assay	sequence analysis data transformation	Indochina I (Sequence Variations)
Extract M24	labeling	nucleic acid hybridization	M24 SNP Chip Assay	sequence analysis data transformation	M24 (Sequence Variations)
Extract Malawi CF04.008 10B	labeling	nucleic acid hybridization	Malawi CF04.008 10B SNP Chip Assay	sequence analysis data transformation	Malawi CF04.008 10B (Sequence Variations)
Extract Malawi CF04.008 12G	labeling	nucleic acid hybridization	Malawi CF04.008 12G SNP Chip Assay	sequence analysis data transformation	Malawi CF04.008 12G (Sequence Variations)
