Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[GAZ_00000448]	Term Source REF	Term Accession Number	Comment [environmental feature]	Comment[subject??]	Characteristics[OBI_0100026]	Term Source REF	Term Accession Number	Characteristics[OPL_0000232]	Protocol REF	Sample Name	Description	Material Type	Term Source REF	Term Accession Number	Protocol REF	Extract Name	Material Type	Term Source REF	Term Accession Number
Subject 1	host organism	GO	GO_0018995	Netherlands	GAZ	http://purl.obolibrary.org/obo/GAZ_00001549	MRA-151	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum 3D7	sample collection	EUSTDY0004-1.1	Sample 3D7	sample from organism	OBI	OBI_0000671	extraction	Extract 3D7	DNA extract	OBI	OBI_0001051
Subject 2	host organism	GO	GO_0018995	Honduras	GAZ	http://purl.obolibrary.org/obo/GAZ_00002894	MRA-155	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum HB3	sample collection	EUSTDY0004-1.2	Sample HB3	sample from organism	OBI	OBI_0000671	extraction	Extract HB3	DNA extract	OBI	OBI_0001051
Subject 3	host organism	GO	GO_0018995	Laos	GAZ	http://purl.obolibrary.org/obo/GAZ_00006889	MRA-156	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Dd2	sample collection	EUSTDY0004-1.3	Sample Dd2	sample from organism	OBI	OBI_0000671	extraction	Extract Dd2	DNA extract	OBI	OBI_0001051
Subject 4	host organism	GO	GO_0018995	Brazil	GAZ	http://purl.obolibrary.org/obo/GAZ_00002828	MRA-152	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum 7G8	sample collection	EUSTDY0004-1.4	Sample 7G8	sample from organism	OBI	OBI_0000671	extraction	Extract 7G8	DNA extract	OBI	OBI_0001051
Subject 5	host organism	GO	GO_0018995	Papua New Guinea	GAZ	http://purl.obolibrary.org/obo/GAZ_00003922	MRA-201	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum D10	sample collection	EUSTDY0004-1.5	Sample D10	sample from organism	OBI	OBI_0000671	extraction	Extract D10	DNA extract	OBI	OBI_0001051
Subject 6	host organism	GO	GO_0018995	Sierra Leone	GAZ	http://purl.obolibrary.org/obo/GAZ_00000914	MRA-285	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum D6	sample collection	EUSTDY0004-1.6	Sample D6	sample from organism	OBI	OBI_0000671	extraction	Extract D6	DNA extract	OBI	OBI_0001051
Subject 7	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	MRA-159	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum K1	sample collection	EUSTDY0004-1.7	Sample K1	sample from organism	OBI	OBI_0000671	extraction	Extract K1	DNA extract	OBI	OBI_0001051
Subject 8	host organism	GO	GO_0018995	Ghana	GAZ	http://purl.obolibrary.org/obo/GAZ_00000908	MRA-200	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum RO-33	sample collection	EUSTDY0004-1.8	Sample RO-33	sample from organism	OBI	OBI_0000671	extraction	Extract RO-33	DNA extract	OBI	OBI_0001051
Subject 9	host organism	GO	GO_0018995	El Salvador	GAZ	http://purl.obolibrary.org/obo/GAZ_00002935	MRA-362	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Santa Lucia	sample collection	EUSTDY0004-1.9	Sample Santa Lucia	sample from organism	OBI	OBI_0000671	extraction	Extract Santa Lucia	DNA extract	OBI	OBI_0001051
Subject 10	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	J. Daily	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P31.01	sample collection	EUSTDY0004-1.10	Sample Senegal P31.01	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P31.01	DNA extract	OBI	OBI_0001051
