Sample Name	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Assay Name	Protocol REF	Data Transformation Name
Sample Bandarban-1	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-1SNP Chip Assay	sequence analysis data transformation	Bandarban-1 (Sequence Variations)
Sample Bandarban-2	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-2SNP Chip Assay	sequence analysis data transformation	Bandarban-2 (Sequence Variations)
Sample Bandarban-3	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-3SNP Chip Assay	sequence analysis data transformation	Bandarban-3 (Sequence Variations)
Sample Bandarban-4	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-4SNP Chip Assay	sequence analysis data transformation	Bandarban-4 (Sequence Variations)
Sample Bandarban-5	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-5SNP Chip Assay	sequence analysis data transformation	Bandarban-5 (Sequence Variations)
Sample Bandarban-6	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-6SNP Chip Assay	sequence analysis data transformation	Bandarban-6 (Sequence Variations)
Sample Bandarban-7	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-7SNP Chip Assay	sequence analysis data transformation	Bandarban-7 (Sequence Variations)
Sample Bandarban-8	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-8SNP Chip Assay	sequence analysis data transformation	Bandarban-8 (Sequence Variations)
Sample Bandarban-9	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-9SNP Chip Assay	sequence analysis data transformation	Bandarban-9 (Sequence Variations)
Sample Bandarban-10	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-10SNP Chip Assay	sequence analysis data transformation	Bandarban-10 (Sequence Variations)
Sample Bandarban-11	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-11SNP Chip Assay	sequence analysis data transformation	Bandarban-11 (Sequence Variations)
Sample Bandarban-12	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-12SNP Chip Assay	sequence analysis data transformation	Bandarban-12 (Sequence Variations)
Sample Bandarban-13	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-13SNP Chip Assay	sequence analysis data transformation	Bandarban-13 (Sequence Variations)
Sample Bandarban-14	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-14SNP Chip Assay	sequence analysis data transformation	Bandarban-14 (Sequence Variations)
Sample Bandarban-15	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-15SNP Chip Assay	sequence analysis data transformation	Bandarban-15 (Sequence Variations)
Sample Bandarban-16	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-16SNP Chip Assay	sequence analysis data transformation	Bandarban-16 (Sequence Variations)
Sample Bandarban-17	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-17SNP Chip Assay	sequence analysis data transformation	Bandarban-17 (Sequence Variations)
Sample Bandarban-18	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-18SNP Chip Assay	sequence analysis data transformation	Bandarban-18 (Sequence Variations)
Sample Bandarban-19	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-19SNP Chip Assay	sequence analysis data transformation	Bandarban-19 (Sequence Variations)
Sample Bandarban-20	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-20SNP Chip Assay	sequence analysis data transformation	Bandarban-20 (Sequence Variations)
Sample Bandarban-21	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-21SNP Chip Assay	sequence analysis data transformation	Bandarban-21 (Sequence Variations)
Sample Bandarban-22	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-22SNP Chip Assay	sequence analysis data transformation	Bandarban-22 (Sequence Variations)
Sample Bandarban-23	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-23SNP Chip Assay	sequence analysis data transformation	Bandarban-23 (Sequence Variations)
Sample Bandarban-24	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-24SNP Chip Assay	sequence analysis data transformation	Bandarban-24 (Sequence Variations)
Sample Bandarban-25	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-25SNP Chip Assay	sequence analysis data transformation	Bandarban-25 (Sequence Variations)
Sample Bandarban-26	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-26SNP Chip Assay	sequence analysis data transformation	Bandarban-26 (Sequence Variations)
Sample Bandarban-27	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-27SNP Chip Assay	sequence analysis data transformation	Bandarban-27 (Sequence Variations)
Sample Bandarban-28	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-28SNP Chip Assay	sequence analysis data transformation	Bandarban-28 (Sequence Variations)
Sample Bandarban-29	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-29SNP Chip Assay	sequence analysis data transformation	Bandarban-29 (Sequence Variations)
Sample Bandarban-30	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-30SNP Chip Assay	sequence analysis data transformation	Bandarban-30 (Sequence Variations)
Sample Bandarban-31	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-31SNP Chip Assay	sequence analysis data transformation	Bandarban-31 (Sequence Variations)
Sample Bandarban-32	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-32SNP Chip Assay	sequence analysis data transformation	Bandarban-32 (Sequence Variations)
Sample Bandarban-33	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-33SNP Chip Assay	sequence analysis data transformation	Bandarban-33 (Sequence Variations)
Sample Bandarban-34	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-34SNP Chip Assay	sequence analysis data transformation	Bandarban-34 (Sequence Variations)
Sample Bandarban-35	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-35SNP Chip Assay	sequence analysis data transformation	Bandarban-35 (Sequence Variations)
Sample Bandarban-36	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-36SNP Chip Assay	sequence analysis data transformation	Bandarban-36 (Sequence Variations)
Sample Bandarban-37	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-37SNP Chip Assay	sequence analysis data transformation	Bandarban-37 (Sequence Variations)
Sample Bandarban-38	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-38SNP Chip Assay	sequence analysis data transformation	Bandarban-38 (Sequence Variations)
Sample Bandarban-39	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-39SNP Chip Assay	sequence analysis data transformation	Bandarban-39 (Sequence Variations)
Sample Bandarban-40	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-40SNP Chip Assay	sequence analysis data transformation	Bandarban-40 (Sequence Variations)
Sample Bandarban-41	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-41SNP Chip Assay	sequence analysis data transformation	Bandarban-41 (Sequence Variations)
Sample Bandarban-42	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-42SNP Chip Assay	sequence analysis data transformation	Bandarban-42 (Sequence Variations)
Sample Bandarban-43	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-43SNP Chip Assay	sequence analysis data transformation	Bandarban-43 (Sequence Variations)
Sample Bandarban-44	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-44SNP Chip Assay	sequence analysis data transformation	Bandarban-44 (Sequence Variations)
Sample Bandarban-45	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-45SNP Chip Assay	sequence analysis data transformation	Bandarban-45 (Sequence Variations)
Sample Bandarban-46	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-46SNP Chip Assay	sequence analysis data transformation	Bandarban-46 (Sequence Variations)
Sample Bandarban-47	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-47SNP Chip Assay	sequence analysis data transformation	Bandarban-47 (Sequence Variations)
Sample Bandarban-48	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-48SNP Chip Assay	sequence analysis data transformation	Bandarban-48 (Sequence Variations)
Sample Bandarban-49	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-49SNP Chip Assay	sequence analysis data transformation	Bandarban-49 (Sequence Variations)
Sample Bandarban-50	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-50SNP Chip Assay	sequence analysis data transformation	Bandarban-50 (Sequence Variations)
Sample Bandarban-51	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-51SNP Chip Assay	sequence analysis data transformation	Bandarban-51 (Sequence Variations)
Sample Bandarban-52	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-52SNP Chip Assay	sequence analysis data transformation	Bandarban-52 (Sequence Variations)
Sample Bandarban-53	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-53SNP Chip Assay	sequence analysis data transformation	Bandarban-53 (Sequence Variations)
Sample Bandarban-54	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-54SNP Chip Assay	sequence analysis data transformation	Bandarban-54 (Sequence Variations)
Sample Bandarban-55	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-55SNP Chip Assay	sequence analysis data transformation	Bandarban-55 (Sequence Variations)
Sample Bandarban-56	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-56SNP Chip Assay	sequence analysis data transformation	Bandarban-56 (Sequence Variations)
Sample Bandarban-57	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-57SNP Chip Assay	sequence analysis data transformation	Bandarban-57 (Sequence Variations)
