Sample Name	Protocol REF	Protocol REF	Assay Name	Protocol REF	Protocol REF	Data Transformation Name
SAMN00765682	DNA extraction	DNA Sequencing	SAMN00765682 DNASeq Assay	data collection	sequence analysis data transformation	7G8_2 (Sequence Variation)
SAMN00761786	DNA extraction	DNA Sequencing	SAMN00761786 DNASeq Assay	data collection	sequence analysis data transformation	SantaLucia_SalvadorI (Sequence Variation)
SAMN01087918	DNA extraction	DNA Sequencing	SAMN01087918 DNASeq Assay	data collection	sequence analysis data transformation	G224 (Sequence Variation)
SAMN01087919	DNA extraction	DNA Sequencing	SAMN01087919 DNASeq Assay	data collection	sequence analysis data transformation	H209 (Sequence Variation)
SAMN00998705	DNA extraction	DNA Sequencing	SAMN00998705 DNASeq Assay	data collection	sequence analysis data transformation	M271-D (Sequence Variation)
SAMN00998682	DNA extraction	DNA Sequencing	SAMN00998682 DNASeq Assay	data collection	sequence analysis data transformation	M312-D (Sequence Variation)
SAMN00998685	DNA extraction	DNA Sequencing	SAMN00998685 DNASeq Assay	data collection	sequence analysis data transformation	N011-A (Sequence Variation)
SAMN00998672	DNA extraction	DNA Sequencing	SAMN00998672 DNASeq Assay	data collection	sequence analysis data transformation	N023-A (Sequence Variation)
SAMN00998687	DNA extraction	DNA Sequencing	SAMN00998687 DNASeq Assay	data collection	sequence analysis data transformation	N071-I (Sequence Variation)
SAMN00998699	DNA extraction	DNA Sequencing	SAMN00998699 DNASeq Assay	data collection	sequence analysis data transformation	N164-A (Sequence Variation)
SAMN00998692	DNA extraction	DNA Sequencing	SAMN00998692 DNASeq Assay	data collection	sequence analysis data transformation	N497-C (Sequence Variation)
SAMN00998723	DNA extraction	DNA Sequencing	SAMN00998723 DNASeq Assay	data collection	sequence analysis data transformation	N579-A (Sequence Variation)
SAMN00998689	DNA extraction	DNA Sequencing	SAMN00998689 DNASeq Assay	data collection	sequence analysis data transformation	O079-B (Sequence Variation)
SAMN00998691	DNA extraction	DNA Sequencing	SAMN00998691 DNASeq Assay	data collection	sequence analysis data transformation	O141-A (Sequence Variation)
SAMN00998669	DNA extraction	DNA Sequencing	SAMN00998669 DNASeq Assay	data collection	sequence analysis data transformation	O222-A (Sequence Variation)
