Extract Name	Protocol REF	Assay Name	Protocol REF	Raw Data Fo;e	Protocol REF	Data Transformation Name
ERS010116	DNA Sequencing	ERS010116 DNASeq Assay	data collection	ERS010116 (Raw data)	sequence analysis data transformation	RV_3606 (Sequence Variation)
ERS010126	DNA Sequencing	ERS010126 DNASeq Assay	data collection	ERS010126 (Raw data)	sequence analysis data transformation	RV_3614 (Sequence Variation)
ERS010043	DNA Sequencing	ERS010043 DNASeq Assay	data collection	ERS010043 (Raw data)	sequence analysis data transformation	RV_3642 (Sequence Variation)
ERS010127	DNA Sequencing	ERS010127 DNASeq Assay	data collection	ERS010127 (Raw data)	sequence analysis data transformation	RV_3650 (Sequence Variation)
ERS010044	DNA Sequencing	ERS010044 DNASeq Assay	data collection	ERS010044 (Raw data)	sequence analysis data transformation	RV_3687 (Sequence Variation)
ERS010045	DNA Sequencing	ERS010045 DNASeq Assay	data collection	ERS010045 (Raw data)	sequence analysis data transformation	RV_3701 (Sequence Variation)
ERS010128	DNA Sequencing	ERS010128 DNASeq Assay	data collection	ERS010128 (Raw data)	sequence analysis data transformation	RV_3703 (Sequence Variation)
ERS010046	DNA Sequencing	ERS010046 DNASeq Assay	data collection	ERS010046 (Raw data)	sequence analysis data transformation	RV_3714 (Sequence Variation)
ERS010047	DNA Sequencing	ERS010047 DNASeq Assay	data collection	ERS010047 (Raw data)	sequence analysis data transformation	RV_3735 (Sequence Variation)
ERS010048	DNA Sequencing	ERS010048 DNASeq Assay	data collection	ERS010048 (Raw data)	sequence analysis data transformation	RV_3737 (Sequence Variation)
ERS010129	DNA Sequencing	ERS010129 DNASeq Assay	data collection	ERS010129 (Raw data)	sequence analysis data transformation	RV_3740 (Sequence Variation)
ERS011006	DNA Sequencing	ERS011006 DNASeq Assay	data collection	ERS011006 (Raw data)	sequence analysis data transformation	RV_3766 (Sequence Variation)
ERS010049	DNA Sequencing	ERS010049 DNASeq Assay	data collection	ERS010049 (Raw data)	sequence analysis data transformation	RV_3600 (Sequence Variation)
ERS010038	DNA Sequencing	ERS010038 DNASeq Assay	data collection	ERS010038 (Raw data)	sequence analysis data transformation	RV_3610 (Sequence Variation)
ERS009726	DNA Sequencing	ERS009726 DNASeq Assay	data collection	ERS009726 (Raw data)	sequence analysis data transformation	RV_3611 (Sequence Variation)
ERS010130	DNA Sequencing	ERS010130 DNASeq Assay	data collection	ERS010130 (Raw data)	sequence analysis data transformation	RV_3630 (Sequence Variation)
ERS010117	DNA Sequencing	ERS010117 DNASeq Assay	data collection	ERS010117 (Raw data)	sequence analysis data transformation	RV_3635 (Sequence Variation)
ERS010039	DNA Sequencing	ERS010039 DNASeq Assay	data collection	ERS010039 (Raw data)	sequence analysis data transformation	RV_3637 (Sequence Variation)
ERS010040	DNA Sequencing	ERS010040 DNASeq Assay	data collection	ERS010040 (Raw data)	sequence analysis data transformation	RV_3655 (Sequence Variation)
ERS010041	DNA Sequencing	ERS010041 DNASeq Assay	data collection	ERS010041 (Raw data)	sequence analysis data transformation	RV_3671 (Sequence Variation)
ERS009729	DNA Sequencing	ERS009729 DNASeq Assay	data collection	ERS009729 (Raw data)	sequence analysis data transformation	RV_3672 (Sequence Variation)
ERS009966	DNA Sequencing	ERS009966 DNASeq Assay	data collection	ERS009966 (Raw data)	sequence analysis data transformation	RV_3673 (Sequence Variation)
ERS010118	DNA Sequencing	ERS010118 DNASeq Assay	data collection	ERS010118 (Raw data)	sequence analysis data transformation	RV_3675 (Sequence Variation)
ERS010119	DNA Sequencing	ERS010119 DNASeq Assay	data collection	ERS010119 (Raw data)	sequence analysis data transformation	RV_3695 (Sequence Variation)
ERS010120	DNA Sequencing	ERS010120 DNASeq Assay	data collection	ERS010120 (Raw data)	sequence analysis data transformation	RV_3696 (Sequence Variation)
ERS009731	DNA Sequencing	ERS009731 DNASeq Assay	data collection	ERS009731 (Raw data)	sequence analysis data transformation	RV_3702 (Sequence Variation)
ERS009732	DNA Sequencing	ERS009732 DNASeq Assay	data collection	ERS009732 (Raw data)	sequence analysis data transformation	RV_3708 (Sequence Variation)
ERS009733	DNA Sequencing	ERS009733 DNASeq Assay	data collection	ERS009733 (Raw data)	sequence analysis data transformation	RV_3717 (Sequence Variation)
ERS010113	DNA Sequencing	ERS010113 DNASeq Assay	data collection	ERS010113 (Raw data)	sequence analysis data transformation	RV_3721 (Sequence Variation)
ERS010071	DNA Sequencing	ERS010071 DNASeq Assay	data collection	ERS010071 (Raw data)	sequence analysis data transformation	RV_3729 (Sequence Variation)
ERS009669	DNA Sequencing	ERS009669 DNASeq Assay	data collection	ERS009669 (Raw data)	sequence analysis data transformation	RV_3730 (Sequence Variation)
