Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[GAZ_00000448]	Term Source REF	Term Accession Number	Characteristics[OBI_0100026]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Description	Material Type	Term Source REF	Term Accession Number	Characteristics[PATO_0001034]	Characteristics[OPL_0000232]	Protocol REF	Extract Name	Material Type	Term Source REF	Term Accession Number
Subject 1	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.1	ERS010116:  Illumina sequencing for isolate RV_3606; library PA0007-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3606	Plasmodium falciparum	extraction	ERS010116	DNA extract	OBI	OBI_0001051
Subject 2	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.2	ERS010126:  Illumina sequencing for isolate RV_3614; library PA0008-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3614	Plasmodium falciparum	extraction	ERS010126	DNA extract	OBI	OBI_0001051
Subject 3	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.3	ERS010043:  Illumina sequencing for isolate RV_3642; library PA0011-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3642	Plasmodium falciparum	extraction	ERS010043	DNA extract	OBI	OBI_0001051
Subject 4	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.4	ERS010127:  Illumina sequencing for isolate RV_3650; library PA0012-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3650	Plasmodium falciparum	extraction	ERS010127	DNA extract	OBI	OBI_0001051
Subject 5	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.5	ERS010044:  Illumina sequencing for isolate RV_3687; library PA0015-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3687	Plasmodium falciparum	extraction	ERS010044	DNA extract	OBI	OBI_0001051
Subject 6	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.6	ERS010045:  Illumina sequencing for isolate RV_3701; library PA0016-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3701	Plasmodium falciparum	extraction	ERS010045	DNA extract	OBI	OBI_0001051
Subject 7	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.7	ERS010128:  Illumina sequencing for isolate RV_3703; library PA0017-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3703	Plasmodium falciparum	extraction	ERS010128	DNA extract	OBI	OBI_0001051
Subject 8	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.8	ERS010046:  Illumina sequencing for isolate RV_3714; library PA0018-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3714	Plasmodium falciparum	extraction	ERS010046	DNA extract	OBI	OBI_0001051
Subject 9	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.9	ERS010047:  Illumina sequencing for isolate RV_3735; library PA0020-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3735	Plasmodium falciparum	extraction	ERS010047	DNA extract	OBI	OBI_0001051
Subject 10	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.10	ERS010048:  Illumina sequencing for isolate RV_3737; library PA0021-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3737	Plasmodium falciparum	extraction	ERS010048	DNA extract	OBI	OBI_0001051
Subject 11	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.11	ERS010129:  Illumina sequencing for isolate RV_3740; library PA0022-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3740	Plasmodium falciparum	extraction	ERS010129	DNA extract	OBI	OBI_0001051
Subject 12	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.12	ERS011006:  Illumina sequencing for isolate RV_3766; library PA0026-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3766	Plasmodium falciparum	extraction	ERS011006	DNA extract	OBI	OBI_0001051
