Extract Name	Protocol REF	Protocol REF	Assay Name
Extract 1064.G.CJV171	DNA Sequencing	metagenomics analysis	1064.G.CJV171 (OTU)
Extract 1064.G.CJV172	DNA Sequencing	metagenomics analysis	1064.G.CJV172 (OTU)
Extract 1064.G.CJV173	DNA Sequencing	metagenomics analysis	1064.G.CJV173 (OTU)
Extract 1064.G.CJV174	DNA Sequencing	metagenomics analysis	1064.G.CJV174 (OTU)
Extract 1064.G.CJV175	DNA Sequencing	metagenomics analysis	1064.G.CJV175 (OTU)
Extract 1064.G.CJV176	DNA Sequencing	metagenomics analysis	1064.G.CJV176 (OTU)
Extract 1064.G.CJV189	DNA Sequencing	metagenomics analysis	1064.G.CJV189 (OTU)
Extract 1064.G.CJV190	DNA Sequencing	metagenomics analysis	1064.G.CJV190 (OTU)
Extract 1064.G.CJV191	DNA Sequencing	metagenomics analysis	1064.G.CJV191 (OTU)
Extract 1064.G.CJV192	DNA Sequencing	metagenomics analysis	1064.G.CJV192 (OTU)
Extract 1064.G.CJV193	DNA Sequencing	metagenomics analysis	1064.G.CJV193 (OTU)
Extract 1064.G.CJV194	DNA Sequencing	metagenomics analysis	1064.G.CJV194 (OTU)
Extract 1064.G.CJV195	DNA Sequencing	metagenomics analysis	1064.G.CJV195 (OTU)
Extract 1064.G.CJV196	DNA Sequencing	metagenomics analysis	1064.G.CJV196 (OTU)
Extract 1064.G.CJV197	DNA Sequencing	metagenomics analysis	1064.G.CJV197 (OTU)
Extract 1064.G.CJV198	DNA Sequencing	metagenomics analysis	1064.G.CJV198 (OTU)
Extract 1064.G.CJV199	DNA Sequencing	metagenomics analysis	1064.G.CJV199 (OTU)
Extract 1064.G.CJV200	DNA Sequencing	metagenomics analysis	1064.G.CJV200 (OTU)
Extract 1064.G.CJV201	DNA Sequencing	metagenomics analysis	1064.G.CJV201 (OTU)
Extract 1064.G.CJV202	DNA Sequencing	metagenomics analysis	1064.G.CJV202 (OTU)
Extract 1064.G.CJV203	DNA Sequencing	metagenomics analysis	1064.G.CJV203 (OTU)
Extract 1064.G.CJV204	DNA Sequencing	metagenomics analysis	1064.G.CJV204 (OTU)
Extract 1064.G.CJV205	DNA Sequencing	metagenomics analysis	1064.G.CJV205 (OTU)
Extract 1064.G.CJV206	DNA Sequencing	metagenomics analysis	1064.G.CJV206 (OTU)
Extract 1064.G.CJV207	DNA Sequencing	metagenomics analysis	1064.G.CJV207 (OTU)
Extract 1064.G.CJV227	DNA Sequencing	metagenomics analysis	1064.G.CJV227 (OTU)
Extract 1064.G.CJV228	DNA Sequencing	metagenomics analysis	1064.G.CJV228 (OTU)
Extract 1064.G.CJV229	DNA Sequencing	metagenomics analysis	1064.G.CJV229 (OTU)
Extract 1064.G.CJV230	DNA Sequencing	metagenomics analysis	1064.G.CJV230 (OTU)
Extract 1064.G.CJV231	DNA Sequencing	metagenomics analysis	1064.G.CJV231 (OTU)
Extract 1064.G.CJV232	DNA Sequencing	metagenomics analysis	1064.G.CJV232 (OTU)
Extract 1064.G.CV01	DNA Sequencing	metagenomics analysis	1064.G.CV01 (OTU)
Extract 1064.G.CV02	DNA Sequencing	metagenomics analysis	1064.G.CV02 (OTU)
Extract 1064.G.CV03	DNA Sequencing	metagenomics analysis	1064.G.CV03 (OTU)
Extract 1064.G.CV04	DNA Sequencing	metagenomics analysis	1064.G.CV04 (OTU)
Extract 1064.G.CV05	DNA Sequencing	metagenomics analysis	1064.G.CV05 (OTU)
Extract 1064.G.CV06	DNA Sequencing	metagenomics analysis	1064.G.CV06 (OTU)
Extract 1064.G.CV10	DNA Sequencing	metagenomics analysis	1064.G.CV10 (OTU)
Extract 1064.G.CV108	DNA Sequencing	metagenomics analysis	1064.G.CV108 (OTU)
Extract 1064.G.CV11	DNA Sequencing	metagenomics analysis	1064.G.CV11 (OTU)
Extract 1064.G.CV12	DNA Sequencing	metagenomics analysis	1064.G.CV12 (OTU)
Extract 1064.G.CV209	DNA Sequencing	metagenomics analysis	1064.G.CV209 (OTU)
Extract 1064.G.CV210	DNA Sequencing	metagenomics analysis	1064.G.CV210 (OTU)
Extract 1064.G.CV211	DNA Sequencing	metagenomics analysis	1064.G.CV211 (OTU)
Extract 1064.G.CV212	DNA Sequencing	metagenomics analysis	1064.G.CV212 (OTU)
Extract 1064.G.CV213	DNA Sequencing	metagenomics analysis	1064.G.CV213 (OTU)
Extract 1064.G.CV214	DNA Sequencing	metagenomics analysis	1064.G.CV214 (OTU)
Extract 1064.G.CV233	DNA Sequencing	metagenomics analysis	1064.G.CV233 (OTU)
Extract 1064.G.CV234	DNA Sequencing	metagenomics analysis	1064.G.CV234 (OTU)
Extract 1064.G.CV235	DNA Sequencing	metagenomics analysis	1064.G.CV235 (OTU)
Extract 1064.G.CV236	DNA Sequencing	metagenomics analysis	1064.G.CV236 (OTU)
Extract 1064.G.CV237	DNA Sequencing	metagenomics analysis	1064.G.CV237 (OTU)
Extract 1064.G.CV238	DNA Sequencing	metagenomics analysis	1064.G.CV238 (OTU)
Extract 1064.G.CV239	DNA Sequencing	metagenomics analysis	1064.G.CV239 (OTU)
Extract 1064.G.CV240	DNA Sequencing	metagenomics analysis	1064.G.CV240 (OTU)
Extract 1064.G.CV241	DNA Sequencing	metagenomics analysis	1064.G.CV241 (OTU)
Extract 1064.G.CV242	DNA Sequencing	metagenomics analysis	1064.G.CV242 (OTU)
Extract 1064.G.CV243	DNA Sequencing	metagenomics analysis	1064.G.CV243 (OTU)
Extract 1064.G.CV244	DNA Sequencing	metagenomics analysis	1064.G.CV244 (OTU)
Extract 1064.G.CV25	DNA Sequencing	metagenomics analysis	1064.G.CV25 (OTU)
Extract 1064.G.CV26	DNA Sequencing	metagenomics analysis	1064.G.CV26 (OTU)
Extract 1064.G.CV263	DNA Sequencing	metagenomics analysis	1064.G.CV263 (OTU)
Extract 1064.G.CV264	DNA Sequencing	metagenomics analysis	1064.G.CV264 (OTU)
Extract 1064.G.CV265	DNA Sequencing	metagenomics analysis	1064.G.CV265 (OTU)
Extract 1064.G.CV266	DNA Sequencing	metagenomics analysis	1064.G.CV266 (OTU)
Extract 1064.G.CV267	DNA Sequencing	metagenomics analysis	1064.G.CV267 (OTU)
Extract 1064.G.CV268	DNA Sequencing	metagenomics analysis	1064.G.CV268 (OTU)
Extract 1064.G.CV27	DNA Sequencing	metagenomics analysis	1064.G.CV27 (OTU)
Extract 1064.G.CV281	DNA Sequencing	metagenomics analysis	1064.G.CV281 (OTU)
Extract 1064.G.CV282	DNA Sequencing	metagenomics analysis	1064.G.CV282 (OTU)
Extract 1064.G.CV283	DNA Sequencing	metagenomics analysis	1064.G.CV283 (OTU)
Extract 1064.G.CV284	DNA Sequencing	metagenomics analysis	1064.G.CV284 (OTU)
Extract 1064.G.CV285	DNA Sequencing	metagenomics analysis	1064.G.CV285 (OTU)
