sample_name	description	source_mt_override	sample_mt_override	age	age_group	altitude	body_habitat	body_product	body_site	collection_timestamp	country	elevation	env_biome	env_feature	env_matter	host_common_name	sex	host_taxid	latitude	longitude
1064.G.CJV171	Whole intestine tissue, with food content.				drone	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	10/22/2008 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	male	7460	18.22	-65.99
1064.G.CJV172	Whole intestine tissue, with food content.				drone	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	10/24/2008 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	male	7460	18.22	-65.99
1064.G.CJV173	Whole intestine tissue, with food content.				drone	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	10/24/2008 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	male	7460	18.22	-65.99
1064.G.CJV174	Whole intestine tissue, with food content.				drone	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	10/25/2008 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	male	7460	18.22	-65.99
1064.G.CJV175	Whole intestine tissue, with food content.				drone	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	male	7460	18.22	-65.99
1064.G.CJV176	Whole intestine tissue, with food content.				drone	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	male	7460	18.22	-65.99
1064.G.CJV189	Whole intestine tissue, with food content.			5 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV190	Whole intestine tissue, with food content.			5 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/12/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV191	Whole intestine tissue, with food content.			5 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/12/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV192	Whole intestine tissue, with food content.			5 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/12/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV193	Whole intestine tissue, with food content.			5 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/12/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV194	Whole intestine tissue, with food content.			5 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/12/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV195	Whole intestine tissue, with food content.			12 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/12/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV196	Whole intestine tissue, with food content.			12 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/12/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV197	Whole intestine tissue, with food content.			12 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/12/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV198	Whole intestine tissue, with food content.			12 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/12/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV199	Whole intestine tissue, with food content.			12 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/12/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV200	Whole intestine tissue, with food content.			12 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/12/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV201	Whole intestine tissue, with food content.			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/12/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV202	Whole intestine tissue, with food content.			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/12/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV203	Whole intestine tissue, with food content.			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/12/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV204	Whole intestine tissue, with food content.			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/12/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV205	Whole intestine tissue, with food content.			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/12/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV206	Whole intestine tissue, with food content.			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/12/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV207	Whole intestine tissue, with food content.				queen	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	10/23/2008 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV227	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/16/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV228	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/16/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV229	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/16/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV230	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/16/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV231	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/16/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CJV232	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/16/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV01	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	1/1/2050 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV02	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	1/1/2050 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV03	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	1/1/2050 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV04	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	1/1/2050 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV05	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	1/1/2050 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV06	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	1/1/2050 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV10	Whole intestine tissue, with food content.			4 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	1/1/2050 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV108	Whole intestine tissue, with food content.				queen	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	1/1/2050 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV11	Whole intestine tissue, with food content.			4 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	1/1/2050 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV12	Whole intestine tissue, with food content.			4 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	1/1/2050 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV209	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV210	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV211	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV212	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV213	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV214	Whole intestine tissue, with food content.			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV233	Whole intestine tissue, with food content.			7 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV234	Whole intestine tissue, with food content.			7 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
