Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[MiXS_host_age]	Characteristics[BFO_0000023]	Characteristics[MiXS_alt]	Characteristics[MiXS_host_body_habitat]	Characteristics[OBI_0001627]	Characteristics[ENVO_00000176]	Characteristics[MiXS_env_biome]	Characteristics[MiXS_env_feature]	Characteristics[MiXS_host_common_name]	Characteristics[MiXS_host_taxid]	Characteristics[OBI_0001620]	Characteristics[OBI_0001621]	Characteristics[PATO_0000047]	Characteristics[GAZ_00000448]	Protocol REF	Sample Name	Material Type	Term Source REF	Term Accession Number	Description	Characteristics[MiXS_host_body_product]	Characteristics[MiXS_host_body_site]	Characteristics[MiXS_env_material]	Protocol REF	Extract Name	Material Type	Term Source REF	Term Accession Number
G-CJV227	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CJV227	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CJV227	DNA extract	OBI	OBI_0001051
G-CJV228	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CJV228	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CJV228	DNA extract	OBI	OBI_0001051
G-CJV229	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CJV229	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CJV229	DNA extract	OBI	OBI_0001051
G-CJV230	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CJV230	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CJV230	DNA extract	OBI	OBI_0001051
G-CJV231	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CJV231	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CJV231	DNA extract	OBI	OBI_0001051
G-CJV232	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CJV232	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CJV232	DNA extract	OBI	OBI_0001051
G-CV01	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV01	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV01	DNA extract	OBI	OBI_0001051
G-CV02	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV02	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV02	DNA extract	OBI	OBI_0001051
G-CV03	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV03	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV03	DNA extract	OBI	OBI_0001051
G-CV04	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.CV04	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.CV04	DNA extract	OBI	OBI_0001051
