sample_name	description			host_age	role	altitude	anonymized_name	assigned_from_geo	body_habitat	body_product	body_site	collection_timestamp	colony_tetracycline	common_name	country	depth	dna_extracted	elevation	env_biome	env_feature	env_matter	host_common_name	host_scientific_name	host_subject_id	host_taxid	larval_tetracycline	latitude	longitude	physical_specimen_location	physical_specimen_remaining	public	required_sample_info_status	sample_name_in_tube	sample_type	sex	taxon_id	title	village
1064.G.CJV171	Sample 1064.G.CJV171 : Whole intestine tissue, with food content.				drone	0	G.CJV171	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2008-10-22 00:00:00	True	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV171	7460	True	18.22	-65.99	XXQIITAXX	True	True	completed	143	XXQIITAXX	male	749906	Bee_Microbiome	Gurabo
1064.G.CJV172	Sample 1064.G.CJV172 : Whole intestine tissue, with food content.				drone	0	G.CJV172	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2008-10-24 00:00:00	True	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV172	7460	True	18.22	-65.99	XXQIITAXX	True	True	completed	145	XXQIITAXX	male	749906	Bee_Microbiome	Gurabo
1064.G.CJV173	Sample 1064.G.CJV173 : Whole intestine tissue, with food content.				drone	0	G.CJV173	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2008-10-24 00:00:00	True	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV173	7460	True	18.22	-65.99	XXQIITAXX	True	True	completed	147	XXQIITAXX	male	749906	Bee_Microbiome	Gurabo
1064.G.CJV174	Sample 1064.G.CJV174 : Whole intestine tissue, with food content.				drone	0	G.CJV174	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2008-10-25 00:00:00	True	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV174	7460	True	18.22	-65.99	XXQIITAXX	True	True	completed	149	XXQIITAXX	male	749906	Bee_Microbiome	Gurabo
1064.G.CJV175	Sample 1064.G.CJV175 : Whole intestine tissue, with food content.				drone	0	G.CJV175	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-11 00:00:00	True	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV175	7460	True	18.22	-65.99	XXQIITAXX	True	True	completed	151	XXQIITAXX	male	749906	Bee_Microbiome	Gurabo
1064.G.CJV176	Sample 1064.G.CJV176 : Whole intestine tissue, with food content.				drone	0	G.CJV176	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-11 00:00:00	True	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV176	7460	True	18.22	-65.99	XXQIITAXX	True	True	completed	153	XXQIITAXX	male	749906	Bee_Microbiome	Gurabo
1064.G.CJV189	Sample 1064.G.CJV189 : Whole intestine tissue, with food content.			5 days	nurse	0	G.CJV189	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-11 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV189	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	179	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV190	Sample 1064.G.CJV190 : Whole intestine tissue, with food content.			5 days	nurse	0	G.CJV190	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV190	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	181	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV191	Sample 1064.G.CJV191 : Whole intestine tissue, with food content.			5 days	nurse	0	G.CJV191	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV191	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	183	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV192	Sample 1064.G.CJV192 : Whole intestine tissue, with food content.			5 days	nurse	0	G.CJV192	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV192	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	185	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV193	Sample 1064.G.CJV193 : Whole intestine tissue, with food content.			5 days	nurse	0	G.CJV193	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV193	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	187	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV194	Sample 1064.G.CJV194 : Whole intestine tissue, with food content.			5 days	nurse	0	G.CJV194	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV194	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	189	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
