sample_name	description			altitude	anonymized_name	assigned_from_geo	body_habitat	body_product	body_site	collection_timestamp	country	day	depth	dna_extracted	elevation	env_biome	env_feature	env_matter	extracted_dna_avail_now	family	host_common_name	host_subject_id	host_taxid	house	house_day_subject_surface	house_day_surface	house_surface	latitude	life_stage	longitude	move_time	moved	notes	number_children	number_residents_human	percent_adult_residents	percent_male	pet_farm_animal	physical_specimen_location	physical_specimen_remaining	public	required_sample_info_status	sample_order	sample_progress	sample_tube_id	sample_type	sex	source	source1	sourcesink	subject	subject_surface	surface	taxon_id	time	title
2192.H01a.Bathroom.Door.Knob.102.lane1.NoIndex.L001	Sample 2192.H01a.Bathroom.Door.Knob.102.lane1.NoIndex.L001 			0	H01a.Bathroom_Door_Knob	True				2012-02-14 00:00:00	GAZ:United States of America	D05	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D05.House_01a.Bathroom_Door_Knob	H01a.D05.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	78	sequenced (16S)	102	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	1256227	7:30AM	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.126.lane1.NoIndex.L001	Sample 2192.H01a.Bathroom.Door.Knob.126.lane1.NoIndex.L001 			0	H01a.Bathroom_Door_Knob	True				2012-02-15 00:00:00	GAZ:United States of America	D06	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D06.House_01a.Bathroom_Door_Knob	H01a.D06.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	96	sequenced (16S)	126	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	1256227	8:20AM	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.150.lane1.NoIndex.L001	Sample 2192.H01a.Bathroom.Door.Knob.150.lane1.NoIndex.L001 			0	H01a.Bathroom_Door_Knob	True				2012-02-16 00:00:00	GAZ:United States of America	D07	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D07.House_01a.Bathroom_Door_Knob	H01a.D07.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88		-87.63		False	Jack in Vancouver	2	4	0.5	0.75	none	ANL	True	True	completed	114	sequenced (16S)	150	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	1256227	8:40PM	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.174.lane2.NoIndex.L002	Sample 2192.H01a.Bathroom.Door.Knob.174.lane2.NoIndex.L002 			0	H01a.Bathroom_Door_Knob	True				2012-02-17 00:00:00	GAZ:United States of America	D08	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D08.House_01a.Bathroom_Door_Knob	H01a.D08.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88		-87.63		False	Bag Metadata missing assuming 8:40pm, no cleaning	2	4	0.5	0.75	none	ANL	True	True	completed	129	sequenced (16S)	174	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	1256227	8:40PM	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.198.lane2.NoIndex.L002	Sample 2192.H01a.Bathroom.Door.Knob.198.lane2.NoIndex.L002 			0	H01a.Bathroom_Door_Knob	True				2012-02-18 00:00:00	GAZ:United States of America	D09	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D09.House_01a.Bathroom_Door_Knob	H01a.D09.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88		-87.63		False	Jack in Vancouver	2	4	0.5	0.75	none	ANL	True	True	completed	144	sequenced (16S)	198	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	1256227	8:45PM	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.222.lane2.NoIndex.L002	Sample 2192.H01a.Bathroom.Door.Knob.222.lane2.NoIndex.L002 			0	H01a.Bathroom_Door_Knob	True				2012-02-19 00:00:00	GAZ:United States of America	D10	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D10.House_01a.Bathroom_Door_Knob	H01a.D10.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	159	sequenced (16S)	222	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	1256227	8:00PM	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.246.lane2.NoIndex.L002	Sample 2192.H01a.Bathroom.Door.Knob.246.lane2.NoIndex.L002 			0	H01a.Bathroom_Door_Knob	True				2012-02-21 00:00:00	GAZ:United States of America	D11	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D11.House_01a.Bathroom_Door_Knob	H01a.D11.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88		-87.63		False	2 Guests - 1 Males, 1 Female	2	4	0.5	0.75	none	ANL	True	True	completed	177	sequenced (16S)	246	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	1256227	7:45am	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.270.lane2.NoIndex.L002	Sample 2192.H01a.Bathroom.Door.Knob.270.lane2.NoIndex.L002 			0	H01a.Bathroom_Door_Knob	True				2012-02-22 00:00:00	GAZ:United States of America	D12	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D12.House_01a.Bathroom_Door_Knob	H01a.D12.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	195	sequenced (16S)	270	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	1256227	8:30am	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.294.lane2.NoIndex.L002	Sample 2192.H01a.Bathroom.Door.Knob.294.lane2.NoIndex.L002 			0	H01a.Bathroom_Door_Knob	True				2012-02-24 00:00:00	GAZ:United States of America	D13	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D13.House_01a.Bathroom_Door_Knob	H01a.D13.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	213	sequenced (16S)	294	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	1256227	9:30am	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.30.lane1.NoIndex.L001	Sample 2192.H01a.Bathroom.Door.Knob.30.lane1.NoIndex.L001 			0	H01a.Bathroom_Door_Knob	True				2012-02-11 00:00:00	GAZ:United States of America	D02	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D02.House_01a.Bathroom_Door_Knob	H01a.D02.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	24	sequenced (16S)	30	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	1256227	7:00AM	Gilbert_house_forensics_BE
