Name	Description	SourceMTOverride	SampleMTOverride	Characteristics[GAZ_00000448]	Characteristics[OBI_0100026]	Parameter Value [Year]	Characteristics[OPL_0000232]	Characteristics[haplogroup]
ARI	Toxoplasma gondii ARI whole genome,Human(transplant), Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002459	NCBITaxon_9606	1992	Toxoplasma gondii ARI	12
CAST	Toxoplasma gondii CAST whole genome,Human(AIDS), Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002459	NCBITaxon_9606	1988	Toxoplasma gondii CAST	7
COUG	Toxoplasma gondii COUG whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002560	NCBITaxon_694476	1996	Toxoplasma gondii COUG	11
FOU	Toxoplasma gondii FOU whole genome,Human(transplant), Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002940	NCBITaxon_9606	1992	Toxoplasma gondii FOU	6a
GAB2-2007-GAL-DOM2	Toxoplasma gondii GAB2-2007-GAL-DOM2 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00001092	NCBITaxon_9031	2007	Toxoplasma gondii GAB2-2007-GAL-DOM2	14
GT1	Toxoplasma gondii GT1 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002459	NCBITaxon_9940	1980	Toxoplasma gondii GT1	1
MAS	Toxoplasma gondii MAS whole genome,Human(congenital,) Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002940	NCBITaxon_9606	1991	Toxoplasma gondii MAS	4
p89	Toxoplasma gondii p89 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002459	NCBITaxon_9823	1991	Toxoplasma gondii p89	9
RUB	Toxoplasma gondii RUB whole genome,Human(adult), Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002516	NCBITaxon_9606	1992	Toxoplasma gondii RUB	5
TgCat_PRC2	Toxoplasma gondii wTgCat PRC2 hole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002845	NCBITaxon_9685	2007	Toxoplasma gondii TgCat PRC2	13
TgCATBr5	Toxoplasma gondii TgCATBr5 whole genome, Illumina reads submitted to SRA			http://purl.obolibrary.org/obo/GAZ_00002828	NCBITaxon_9685	2006	Toxoplasma gondii TgCATBr5	8
