Name	Description	SourceMTOverride	SampleMTOverride	Characteristics[GAZ_00000448]	Characteristics[OBI_0100026]	Parameter Value [Specimen Collection Year]	Parameter Value [Specimen Collection Date]	Characteristics[OPL_0000232]
g33	NGS SNPs on Giardia assemblageE g33			http://purl.obolibrary.org/obo/GAZ_00000463	NCBITaxon_9913	1993	93-06-08	Giardia Assemblage E g33
C4	NGS SNPs on Giardia assemblageA C4			http://purl.obolibrary.org/obo/GAZ_00006882	NCBITaxon_9606			Giardia Assemblage A C4
C6	NGS SNPs on Giardia assemblageA C6			http://purl.obolibrary.org/obo/GAZ_00006882	NCBITaxon_9606			Giardia Assemblage A C6
g2	NGS SNPs on Giardia assemblageA g2			http://purl.obolibrary.org/obo/GAZ_00000463	NCBITaxon_9606	1994	94-10-10	Giardia Assemblage A g2
g3	NGS SNPs on Giardia assemblageA g3			http://purl.obolibrary.org/obo/GAZ_00000463	NCBITaxon_9606	1994	94-8-25	Giardia Assemblage A g3
g4	NGS SNPs on Giardia assemblageA g4			http://purl.obolibrary.org/obo/GAZ_00000463	NCBITaxon_9606	2000	00-01-26	Giardia Assemblage A g4
g5	NGS SNPs on Giardia assemblageA g5				NCBITaxon_9685	1991	91-08-29	Giardia Assemblage A g5
g6	NGS SNPs on Giardia assemblageA g6				NCBITaxon_9685	1991	91-04-01	Giardia Assemblage A g6
g7	NGS SNPs on Giardia assemblageA g7			http://purl.obolibrary.org/obo/GAZ_00000463	NCBITaxon_9606	1992	92-03-11	Giardia Assemblage A g7
g8	NGS SNPs on Giardia assemblageA g8			http://purl.obolibrary.org/obo/GAZ_00000463	NCBITaxon_9606	1992	92-04-01	Giardia Assemblage A g8
g9	NGS SNPs on Giardia assemblageA g9			http://purl.obolibrary.org/obo/GAZ_00002560	NCBITaxon_9940	1991	91-09-02	Giardia Assemblage A g9
g10	NGS SNPs on Giardia assemblageA g10			http://purl.obolibrary.org/obo/GAZ_00002560	NCBITaxon_9940	1991	91-08-13	Giardia Assemblage A g10
g11	NGS SNPs on Giardia assemblageA g11			http://purl.obolibrary.org/obo/GAZ_00006882	NCBITaxon_9606	1992	92-03-11	Giardia Assemblage A g11
g12	NGS SNPs on Giardia assemblageA g12			http://purl.obolibrary.org/obo/GAZ_00006882	NCBITaxon_9606	1994	94-08-30	Giardia Assemblage A g12
g13	NGS SNPs on Giardia assemblageA g13			http://purl.obolibrary.org/obo/GAZ_00006882	NCBITaxon_9606	1997	97-09-19	Giardia Assemblage A g13
g14	NGS SNPs on Giardia assemblageA g14			http://purl.obolibrary.org/obo/GAZ_00006882	NCBITaxon_9606	1999	99-03-22	Giardia Assemblage A g14
g15	NGS SNPs on Giardia assemblageA g15			http://purl.obolibrary.org/obo/GAZ_00006882	NCBITaxon_9606	2001	01/06/2014	Giardia Assemblage A g15
g16	NGS SNPs on Giardia assemblageA g16			http://purl.obolibrary.org/obo/GAZ_00000463	NCBITaxon_9606	1991	91-09-17	Giardia Assemblage A g16
g17	NGS SNPs on Giardia assemblageA g17			http://purl.obolibrary.org/obo/GAZ_00000463	NCBITaxon_9606	1992	92-03-03	Giardia Assemblage A g17
