Name	Description	SourceMTOverride	SampleMTOverride	Characteristics[GAZ_00000448]	Characteristics[OBI_0100026]	Parameter Value [Specimen Collection Date]	Parameter Value [Specimen Collection Year]	Characteristics[OPL_0000232]
CUK1	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK1			http://purl.obolibrary.org/obo/GAZ_00000558	NCBITaxon_9606	20050923	2005	Leishmania infantum CUK1
CUK2	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK2			http://purl.obolibrary.org/obo/GAZ_00000558	NCBITaxon_33402	20050923	2005	Leishmania infantum CUK2
CUK3	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK3			http://purl.obolibrary.org/obo/GAZ_00000558	NCBITaxon_33402	20050926	2005	Leishmania infantum CUK3
CUK4	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK4			http://purl.obolibrary.org/obo/GAZ_00000558	NCBITaxon_33402	20060919	2006	Leishmania infantum CUK4
CUK5	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK5			http://purl.obolibrary.org/obo/GAZ_00000558	NCBITaxon_33402	20060919	2006	Leishmania infantum CUK5
CUK6	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK6			http://purl.obolibrary.org/obo/GAZ_00000558	NCBITaxon_33402	20060919	2006	Leishmania infantum CUK6
CUK7	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK7			http://purl.obolibrary.org/obo/GAZ_00000558	NCBITaxon_33402	20060919	2006	Leishmania infantum CUK7
CUK8	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK8			http://purl.obolibrary.org/obo/GAZ_00000558	NCBITaxon_33402	20060916	2006	Leishmania infantum CUK8
CUK9	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK9			http://purl.obolibrary.org/obo/GAZ_00000558	NCBITaxon_33402	20070925	2007	Leishmania infantum CUK9
CUK10	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK10			http://purl.obolibrary.org/obo/GAZ_00000558	NCBITaxon_33402	20070925	2007	Leishmania infantum CUK10
CUK11	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK11			http://purl.obolibrary.org/obo/GAZ_00000558	NCBITaxon_33402	20070925	2007	Leishmania infantum CUK11
CUK12	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK12			http://purl.obolibrary.org/obo/GAZ_00000558	NCBITaxon_33402	20070925	2007	Leishmania infantum CUK12
