Extract Name	Protocol Ref	Assay Name	Protocol Ref	Data Transformation Name
TgCatEg_55 (DNA extract)	RFLP assay	TgCatEg_55 (RFLP assay)	data transformation	TgCatEg_55 (RFLPGenotype)
TgCatEg_115 (DNA extract)	RFLP assay	TgCatEg_115 (RFLP assay)	data transformation	TgCatEg_115 (RFLPGenotype)
TgCatEg6 (DNA extract)	RFLP assay	TgCatEg6 (RFLP assay)	data transformation	TgCatEg6 (RFLPGenotype)
TgCatEg11 (DNA extract)	RFLP assay	TgCatEg11 (RFLP assay)	data transformation	TgCatEg11 (RFLPGenotype)
TgCatEg13 (DNA extract)	RFLP assay	TgCatEg13 (RFLP assay)	data transformation	TgCatEg13 (RFLPGenotype)
TgCatEg15 (DNA extract)	RFLP assay	TgCatEg15 (RFLP assay)	data transformation	TgCatEg15 (RFLPGenotype)
TgCatEg17 (DNA extract)	RFLP assay	TgCatEg17 (RFLP assay)	data transformation	TgCatEg17 (RFLPGenotype)
TgCatEg19 (DNA extract)	RFLP assay	TgCatEg19 (RFLP assay)	data transformation	TgCatEg19 (RFLPGenotype)
TgCatEg22 (DNA extract)	RFLP assay	TgCatEg22 (RFLP assay)	data transformation	TgCatEg22 (RFLPGenotype)
TgCatEg24 (DNA extract)	RFLP assay	TgCatEg24 (RFLP assay)	data transformation	TgCatEg24 (RFLPGenotype)
TgCatEg35 (DNA extract)	RFLP assay	TgCatEg35 (RFLP assay)	data transformation	TgCatEg35 (RFLPGenotype)
TgCatEg36 (DNA extract)	RFLP assay	TgCatEg36 (RFLP assay)	data transformation	TgCatEg36 (RFLPGenotype)
TgCatEg37 (DNA extract)	RFLP assay	TgCatEg37 (RFLP assay)	data transformation	TgCatEg37 (RFLPGenotype)
TgCatEg43 (DNA extract)	RFLP assay	TgCatEg43 (RFLP assay)	data transformation	TgCatEg43 (RFLPGenotype)
TgCatEg47 (DNA extract)	RFLP assay	TgCatEg47 (RFLP assay)	data transformation	TgCatEg47 (RFLPGenotype)
TgCatEg48 (DNA extract)	RFLP assay	TgCatEg48 (RFLP assay)	data transformation	TgCatEg48 (RFLPGenotype)
TgCatEg50 (DNA extract)	RFLP assay	TgCatEg50 (RFLP assay)	data transformation	TgCatEg50 (RFLPGenotype)
TgCatEg58 (DNA extract)	RFLP assay	TgCatEg58 (RFLP assay)	data transformation	TgCatEg58 (RFLPGenotype)
TgCatEg61 (DNA extract)	RFLP assay	TgCatEg61 (RFLP assay)	data transformation	TgCatEg61 (RFLPGenotype)
TgCatEg62 (DNA extract)	RFLP assay	TgCatEg62 (RFLP assay)	data transformation	TgCatEg62 (RFLPGenotype)
TgCatEg66 (DNA extract)	RFLP assay	TgCatEg66 (RFLP assay)	data transformation	TgCatEg66 (RFLPGenotype)
TgCatEg69 (DNA extract)	RFLP assay	TgCatEg69 (RFLP assay)	data transformation	TgCatEg69 (RFLPGenotype)
TgCatEg70 (DNA extract)	RFLP assay	TgCatEg70 (RFLP assay)	data transformation	TgCatEg70 (RFLPGenotype)
TgCatEg71 (DNA extract)	RFLP assay	TgCatEg71 (RFLP assay)	data transformation	TgCatEg71 (RFLPGenotype)
TgCatEg72 (DNA extract)	RFLP assay	TgCatEg72 (RFLP assay)	data transformation	TgCatEg72 (RFLPGenotype)
TgCatEg73 (DNA extract)	RFLP assay	TgCatEg73 (RFLP assay)	data transformation	TgCatEg73 (RFLPGenotype)
TgCatEg74 (DNA extract)	RFLP assay	TgCatEg74 (RFLP assay)	data transformation	TgCatEg74 (RFLPGenotype)
TgCatEg80 (DNA extract)	RFLP assay	TgCatEg80 (RFLP assay)	data transformation	TgCatEg80 (RFLPGenotype)
TgCatEg82 (DNA extract)	RFLP assay	TgCatEg82 (RFLP assay)	data transformation	TgCatEg82 (RFLPGenotype)
TgCatEg83 (DNA extract)	RFLP assay	TgCatEg83 (RFLP assay)	data transformation	TgCatEg83 (RFLPGenotype)
