Name	Description	SourceMTOverride	SampleMTOveride	Characteristics [alternative sample ID]	Characteristics [parasite organism]	Characteristics [city]	specimen collection year	Characteristics [country]	Characteristics [organism]	Characteristics [specimen collector]
SJV_1			specimen	TGC0593	C. immitis	San Joaquin Valley, California		USA	Human	University of Arizona
SJV_2			specimen	TGC0595	C. immitis	San Joaquin Valley, California		USA	Human	University of Arizona
SJV_3			specimen	TGC0597	C. immitis	San Joaquin Valley, California		USA	Human	University of Arizona
SJV_4			specimen	TGC0598	C. immitis	San Joaquin Valley, California		USA	Human	University of Arizona
SJV_5			specimen	TGC0599	C. immitis	San Joaquin Valley, California		USA	Human	University of Arizona
SJV_6			specimen	TGC0600	C. immitis	San Joaquin Valley, California		USA	Human	University of Arizona
SJV_7			specimen	TGC0601	C. immitis	San Joaquin Valley, California		USA	Human	University of Arizona
SJV_8			specimen	TGC0604	C. immitis	San Joaquin Valley, California		USA	Human	University of Arizona
SJV_9			specimen	TGC0605	C. immitis	San Joaquin Valley, California		USA	Human	University of Arizona
SJV_10			specimen	TGC0606	C. immitis	San Joaquin Valley, California		USA		University of Arizona
SJV_11			specimen	TGC0607	C. immitis	San Joaquin Valley, California		USA	Human	University of Arizona
Tucson_1			Lymph node	TGC0609	C. posadasii	Tucson, Arizona		USA	Human	University of Arizona
Tucson_2			specimen	TGC0611	C. posadasii	Tucson, Arizona		USA	Human	University of Arizona
Tucson_3			Sputum	TGC0613	C. posadasii	Tucson, Arizona	1991	USA	Human	University of Arizona
Tucson_4			specimen	TGC0614	C. posadasii	Tucson, Arizona		USA	Human	University of Arizona
Tucson_5			Bronchoalveolar lavage	TGC0615	C. posadasii	Tucson, Arizona	1991	USA	Human	University of Arizona
Tucson_6			Pleural fluid	TGC0618	C. posadasii	Tucson, Arizona	1991	USA	Human	University of Arizona
Tucson_7			Sputum	TGC0619	C. posadasii	Tucson, Arizona	1991	USA	Human	University of Arizona
Tucson_8			specimen	TGC0620	C. posadasii	Tucson, Arizona		USA	Human	University of Arizona
Tucson_9			TGH mold iso	TGC0621	C. posadasii	Tucson, Arizona	1988	USA	Human	University of Arizona
Tucson_10			TGH	TGC0622	C. posadasii	Tucson, Arizona	1988	USA	Human	University of Arizona
Tucson_11			Lung nodule	TGC0623	C. posadasii	Tucson, Arizona	1988	USA	Human	University of Arizona
Tucson_12			Bronchoalveolar lavage	TGC0625	C. posadasii	Tucson, Arizona	1988	USA	Human	University of Arizona
Tucson_13			Lung mold bronch	TGC0626	C. posadasii	Tucson, Arizona	1988	USA	Human	University of Arizona
Tucson_14			Blood	TGC0627	C. posadasii	Tucson, Arizona	1989	USA	Human	University of Arizona
Tucson_15			Sputum	TGC0629	C. posadasii	Tucson, Arizona	1989	USA	Human	University of Arizona
Tucson_16			Lung	TGC0630	C. posadasii	Tucson, Arizona	1989	USA	Human	University of Arizona
Tucson_17			Sputum	TGC0632	C. posadasii	Tucson, Arizona	1986	USA	Human	University of Arizona
Tucson_18			Sputum	TGC0633	C. posadasii	Tucson, Arizona	1987	USA	Human	University of Arizona
Tucson_19			Lung aspirate	TGC0634	C. posadasii	Tucson, Arizona	1987	USA	Human	University of Arizona
Tucson_20			Lung aspirate	TGC0635	C. posadasii	Tucson, Arizona	1987	USA	Human	University of Arizona
Tucson_21				TGC0637	C. posadasii	Tucson, Arizona	1988	USA	Human	University of Arizona
Tucson_22			Bronchoalveolar lavage	TGC0639	C. posadasii	Tucson, Arizona	1988	USA	Human	University of Arizona
Tucson_23			Lung lesion	TGC0640	C. posadasii	Tucson, Arizona	1976	USA	Human	University of Arizona
Michoacan_2			specimen	TGC0642	C. immitis	Michoacan, South Mexico		Mexico		University of Arizona
Guerrero_1			specimen	TGC0643	C. immitis	Guerrero		Mexico	Human	University of Arizona
San_Diego_1			specimen	TGC0645	C. immitis	San Diego, California		USA	Human	University of Arizona
San_Antonio_1			specimen	TGC0646	C. posadasii	San Antonio, Texas		USA		
Colorado_Springs_1			Cerebral spinal fluid	TGC0647	C. posadasii	Colorado Springs, Colorado	1997	USA	Human	University of Arizona
Nuevo_Leon_1			specimen	TGC0648	C. posadasii	Nuevo Leon , Central Mexico		Mexico		University of Arizona
Nuevo_Leon_2			specimen	TGC0649	C. posadasii	Nuevo Leon , Central Mexico		Mexico		University of Arizona
Michoacan_1			specimen	TGC0650	C. posadasii	Michoacan, South Mexico		Mexico		University of Arizona
Sonora_1			specimen	TGC0651	C. posadasii	Sonora, North Mexico		Mexico		University of Arizona
Sonora_2			specimen	TGC0652	C. posadasii	Sonora, North Mexico		Mexico		University of Arizona
Tucson_24			Lung	TGC0653	C. posadasii	Tucson, Arizona	1991	USA	Human	University of Arizona
Coahuila_1			specimen	TGC0654	C. posadasii	Coahuila, North Mexico		Mexico		
Coahuila_2			specimen	TGC0655	C. posadasii	Coahuila, North Mexico		Mexico		University of Arizona
Phoenix_1			Bronchial wash	TGC0656	C. posadasii	Maricopa, Arizona	2002	USA	Human	University of Arizona
Phoenix_2			Bronchial wash	TGC0657	C. posadasii	Maricopa, Arizona	2003	USA	Human	University of Arizona
Phoenix_3			Sputum	TGC0658	C. posadasii	Maricopa, Arizona	2002	USA	Human	University of Arizona
Phoenix_4			Bronchial wash	TGC0659	C. posadasii	Maricopa, Arizona	2003	USA	Human	University of Arizona
Phoenix_5			Pleural fluid	TGC0660	C. posadasii	Maricopa, Arizona	2002	USA	Human	University of Arizona
Phoenix_6			Bone marrow	TGC0661	C. posadasii	Maricopa, Arizona	2002	USA	Human	University of Arizona
Phoenix_7			Sputum	TGC0662	C. posadasii	Maricopa, Arizona	2002	USA	Human	University of Arizona
Phoenix_8			Bronchial wash	TGC0663	C. posadasii	Maricopa, Arizona	2002	USA	Human	University of Arizona
