sample_name	description			host_age	role	altitude	body_habitat	body_product	body_site	collection_timestamp	colony_tetracycline	country	depth	elevation	env_biome	env_feature	env_matter	host_common_name	host_subject_id	host_taxid	larval_tetracycline	latitude	longitude	sex
1064.G.CJV171	"Sample 1064.G.CJV171 : Whole intestine tissue, with food content."				drone	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	10/22/2008	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV171	7460	TRUE	18.22	-65.99	male
1064.G.CJV172	"Sample 1064.G.CJV172 : Whole intestine tissue, with food content."				drone	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	10/24/2008	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV172	7460	TRUE	18.22	-65.99	male
1064.G.CJV173	"Sample 1064.G.CJV173 : Whole intestine tissue, with food content."				drone	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	10/24/2008	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV173	7460	TRUE	18.22	-65.99	male
1064.G.CJV174	"Sample 1064.G.CJV174 : Whole intestine tissue, with food content."				drone	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	10/25/2008	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV174	7460	TRUE	18.22	-65.99	male
1064.G.CJV175	"Sample 1064.G.CJV175 : Whole intestine tissue, with food content."				drone	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV175	7460	TRUE	18.22	-65.99	male
1064.G.CJV176	"Sample 1064.G.CJV176 : Whole intestine tissue, with food content."				drone	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV176	7460	TRUE	18.22	-65.99	male
1064.G.CJV189	"Sample 1064.G.CJV189 : Whole intestine tissue, with food content."			5 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV189	7460	FALSE	18.22	-65.99	female
1064.G.CJV190	"Sample 1064.G.CJV190 : Whole intestine tissue, with food content."			5 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV190	7460	FALSE	18.22	-65.99	female
1064.G.CJV191	"Sample 1064.G.CJV191 : Whole intestine tissue, with food content."			5 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV191	7460	FALSE	18.22	-65.99	female
1064.G.CJV192	"Sample 1064.G.CJV192 : Whole intestine tissue, with food content."			5 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV192	7460	FALSE	18.22	-65.99	female
1064.G.CJV193	"Sample 1064.G.CJV193 : Whole intestine tissue, with food content."			5 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV193	7460	FALSE	18.22	-65.99	female
1064.G.CJV194	"Sample 1064.G.CJV194 : Whole intestine tissue, with food content."			5 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV194	7460	FALSE	18.22	-65.99	female
1064.G.CJV195	"Sample 1064.G.CJV195 : Whole intestine tissue, with food content."			12 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV195	7460	FALSE	18.22	-65.99	female
1064.G.CJV196	"Sample 1064.G.CJV196 : Whole intestine tissue, with food content."			12 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV196	7460	FALSE	18.22	-65.99	female
1064.G.CJV197	"Sample 1064.G.CJV197 : Whole intestine tissue, with food content."			12 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV197	7460	FALSE	18.22	-65.99	female
1064.G.CJV198	"Sample 1064.G.CJV198 : Whole intestine tissue, with food content."			12 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV198	7460	FALSE	18.22	-65.99	female
1064.G.CJV199	"Sample 1064.G.CJV199 : Whole intestine tissue, with food content."			12 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV199	7460	FALSE	18.22	-65.99	female
1064.G.CJV200	"Sample 1064.G.CJV200 : Whole intestine tissue, with food content."			12 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV200	7460	FALSE	18.22	-65.99	female
1064.G.CJV201	"Sample 1064.G.CJV201 : Whole intestine tissue, with food content."			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV201	7460	TRUE	18.22	-65.99	female
1064.G.CJV202	"Sample 1064.G.CJV202 : Whole intestine tissue, with food content."			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV202	7460	TRUE	18.22	-65.99	female
1064.G.CJV203	"Sample 1064.G.CJV203 : Whole intestine tissue, with food content."			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV203	7460	TRUE	18.22	-65.99	female
1064.G.CJV204	"Sample 1064.G.CJV204 : Whole intestine tissue, with food content."			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV204	7460	TRUE	18.22	-65.99	female
1064.G.CJV205	"Sample 1064.G.CJV205 : Whole intestine tissue, with food content."			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV205	7460	TRUE	18.22	-65.99	female
1064.G.CJV206	"Sample 1064.G.CJV206 : Whole intestine tissue, with food content."			21 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/12/2011	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CJV206	7460	TRUE	18.22	-65.99	female
