Source Name	Comment[description]	Comment[source_id]	Characteristics[strain]	Characteristics[organism]	Characteristics[country]	Characteristics[geographic location]	Characteristics[host organism]	Characteristics[environmental feature]	Raw Data File	Raw Data File
BHU568A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.	ERR018860	BHU568A1	Leishmania donovani BPK282A1	India	Bihar, Muzzafarpur	human	unknown	BHU568A1	BHU568A1.paired
BHU573A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.	ERR018861	BHU573A1	Leishmania donovani BPK282A1	India	Bihar, Sitamadhi	human	unknown	BHU573A1	BHU573A1.paired
BPK035A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.	ERR018830	BPK035A1	Leishmania donovani BPK282A1	Nepal	Saptari, Bhagani	human	unknown	BPK035A1	BPK035A1.paired
BPK043A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.	ERR018862	BPK043A1	Leishmania donovani BPK282A1	Nepal	Sunsari, Chatra	human	unknown	BPK043A1	BPK043A1.paired
BPK067A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.	ERR018850	BPK067A1	Leishmania donovani BPK282A1	Nepal	Morang, Sundarpur	human	unknown	BPK067A1	BPK067A1.paired
BPK080A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.	ERR018851	BPK080A1	Leishmania donovani BPK282A1	Nepal	Sunsari, Ithahari	human	unknown	BPK080A1	BPK080A1.paired
BPK173A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.	ERR018841	BPK173A1	Leishmania donovani BPK282A1	Nepal	Sarlahi, Pirari	human	unknown	BPK173A1	BPK173A1.paired
BPK178A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.	ERR018846	BPK178A1	Leishmania donovani BPK282A1	Nepal	Sunsari, Inaruwa	human	unknown	BPK178A1	BPK178A1.paired
BPK190A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.	ERR018845	BPK190A1	Leishmania donovani BPK282A1	Nepal	Morang, Govindpur	human	unknown	BPK190A1	BPK190A1.paired
BPK206A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.	ERR018847	BPK206A1	Leishmania donovani BPK282A1	Nepal	Sunsari, Ithahari	human	unknown	BPK206A1	BPK206A1.paired
BPK275A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.	ERR018856	BPK275A1	Leishmania donovani BPK282A1	Nepal	Morang, Schanischare	human	unknown	BPK275A1	BPK275A1.paired
BPK294A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.	ERR018838	BPK294A1	Leishmania donovani BPK282A1	Nepal	Siraha, Bishnupur	human	unknown	BPK294A1	BPK294A1.paired
BPK298A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.	ERR018833	BPK298A1	Leishmania donovani BPK282A1	Nepal	Sunsari, Ithahari	human	unknown	BPK298A1	BPK298A1.paired
BPK085B2	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.	ERR018840	BPK085B2	Leishmania donovani BPK282A1	Nepal	Saptari, Kamalpur	human	unknown	BPK085B2	BPK085B2.paired
BPK087A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.	ERR018842	BPK087A1	Leishmania donovani BPK282A1	Nepal	Morang, Bhodaha	human	unknown	BPK087A1	BPK087A1.paired
BPK288A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.	ERR018852	BPK288A1	Leishmania donovani BPK282A1	Nepal	Saptari, Sitapur	human	unknown	BPK288A1	BPK288A1.paired
BPK282A1_resequence1	Whole genome sequencing of reference Leishmania donovani clinical isolate from Tim Downing.	ERR018835	BPK282A1_resequence1	Leishmania donovani BPK282A1	Nepal	Sunsari, Inaruwa	human	unknown	BPK282A1_resequence1	BPK282A1_resequence1.paired
