Source Name	Comment[description]	Comment[source_id]	Characteristics[strain]	Characteristics[organism]	Characteristics[geographic location]	Characteristics[country]	Characteristics[host organism]	Parameter Value[collection date]	Characteristics[environmental feature]	Raw Data File	Raw Data File
CUK1	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK1	ERS026255	CUK1	Leishmania infantum	Tepecikören/Zerdali	Turkey	human	2005_09_23	unknown	CUK1	CUK1.paired
CUK2	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK2	ERS026256	CUK2	Leishmania infantum	"Zerdali, house Y"	Turkey	Phlebotomus tobbi(sandfly)	2005_09_23	unknown	CUK2	CUK2.paired
CUK3	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK3	ERS026257	CUK3	Leishmania infantum	"Otluk, house G"	Turkey	Phlebotomus tobbi(sandfly)	2005_09_26	unknown	CUK3	CUK3.paired
CUK4	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK4	ERS026258	CUK4	Leishmania infantum	"Pirsuntanli, house S"	Turkey	Phlebotomus tobbi(sandfly)	2006_09_19	unknown	CUK4	CUK4.paired
CUK5	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK5	ERS026259	CUK5	Leishmania infantum	"Boyali, house K"	Turkey	Phlebotomus tobbi(sandfly)	2006_09_19	unknown	CUK5	CUK5.paired
CUK6	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK6	ERS026260	CUK6	Leishmania infantum	"Pirsuntanli, house S"	Turkey	Phlebotomus tobbi(sandfly)	2006_09_19	unknown	CUK6	CUK6.paired
CUK7	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK7	ERS026261	CUK7	Leishmania infantum	"Pirsuntanli, house S"	Turkey	Phlebotomus tobbi(sandfly)	2006_09_19	unknown	CUK7	CUK7.paired
CUK8	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK8	ERS026262	CUK8	Leishmania infantum	"Boyali, house K"	Turkey	Phlebotomus tobbi(sandfly)	2006_09_16	unknown	CUK8	CUK8.paired
CUK9	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK9	ERS026263	CUK9	Leishmania infantum	"Bayandirli, house B"	Turkey	Phlebotomus tobbi(sandfly)	2007_09_25	unknown	CUK9	CUK9.paired
CUK10	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK10	ERS026264	CUK10	Leishmania infantum	"Bayandirli, house A"	Turkey	Phlebotomus tobbi(sandfly)	2007_09_25	unknown	CUK10	CUK10.paired
CUK11	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK11	ERS026265	CUK11	Leishmania infantum	"Bayandirli, house A"	Turkey	Phlebotomus tobbi(sandfly)	2007_09_25	unknown	CUK11	CUK11.paired
CUK12	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK12	ERS026266	CUK12	Leishmania infantum	"Bayandirli, house A"	Turkey	Phlebotomus tobbi(sandfly)	2007_09_25	unknown	CUK12	CUK12.paired
