Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[GAZ_00000448]	Characteristics[Specimen Collection Country]	Term Source REF	Term Accession Number	Characteristics[OBI_0100026]	Term Source REF	Term Accession Number	Characteristics[Source Disease]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value [Specimen Collection Year]	Sample Name	Material Type	Term Source REF	Term Accession Number	Characteristics[OPL_0000232]	Term Source REF	Term Accession Number	Characteristics[PATO_0001034]	Characteristics[Environmental Feature]	Characteristics[Organism Detection Method]	Term Source REF	Term Accession Number
AF10	host organism	GO	GO_0018995	"Los Angeles, USA"	USA	GAZ	http://purl.obolibrary.org/obo/GAZ_00002459	Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	1986	SRX093407	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	AF10	nodular infiltrate in a corticosteroid-treated patient	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
AF210	host organism	GO	GO_0018995	"Manchester, UK"	UK	GAZ	http://purl.obolibrary.org/obo/GAZ_00002637	Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX028560	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	AF210	hospital acquired infection	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
AF293_resequence1	host organism	GO	GO_0018995	unknown	unknown			Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX028561	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	AF293_resequence1	unknown	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
F11698	host organism	GO	GO_0018995	UK	UK	GAZ	http://purl.obolibrary.org/obo/GAZ_00002637	Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX053430	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	F11698	"clinical isolate from patient with an atypical mycobacterium infection, COPD, CCPA and aspergilloma"	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
F14946	host organism	GO	GO_0018995	UK	UK	GAZ	http://purl.obolibrary.org/obo/GAZ_00002637	Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX053431	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	F14946	clinical isolate from patient with sarcoidosis and bilateral large aspergillomas	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
F15861	host organism	GO	GO_0018995	UK	UK	GAZ	http://purl.obolibrary.org/obo/GAZ_00002637	Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX053432	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	F15861	"clinical isolate from a patient with sarcoidosis, CCPA, and bilateral aspergilloma"	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
F16867	host organism	GO	GO_0018995	UK	UK	GAZ	http://purl.obolibrary.org/obo/GAZ_00002637	Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX053433	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	F16867	clinical isolate obtained from sputum	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
B5852	host organism	GO	GO_0018995	unknown	unknown			Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX097004	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	B5852	unknown	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
B5854	host organism	GO	GO_0018995	unknown	unknown			Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX097005	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	B5854	unknown	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
B5856	host organism	GO	GO_0018995	unknown	unknown			Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX097006	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	B5856	unknown	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
B5859	host organism	GO	GO_0018995	unknown	unknown			Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX097007	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	B5859	unknown	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
B5863	host organism	GO	GO_0018995	unknown	unknown			Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX097008	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	B5863	unknown	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
B5866	host organism	GO	GO_0018995	unknown	unknown			Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX097009	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	B5866	unknown	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
B5868	host organism	GO	GO_0018995	unknown	unknown			Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX097010	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	B5868	unknown	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
B6069	host organism	GO	GO_0018995	unknown	unknown			Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX097011	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	B6069	unknown	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
B6074	host organism	GO	GO_0018995	unknown	unknown			Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX097012	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	B6074	unknown	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
B6078	host organism	GO	GO_0018995	unknown	unknown			Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX097013	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	B6078	unknown	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
B6079	host organism	GO	GO_0018995	unknown	unknown			Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX097015	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	B6079	unknown	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
B6081	host organism	GO	GO_0018995	unknown	unknown			Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX097016	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	B6081	unknown	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
F11628	host organism	GO	GO_0018995	unknown	unknown			Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX097018	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	F11628	unknown	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
F12865	host organism	GO	GO_0018995	unknown	unknown			Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX097019	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	F12865	unknown	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
F15767	host organism	GO	GO_0018995	unknown	unknown			Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	unknown	SRX097021	sample from organism	OBI	OBI_0000671	Aspergillus fumigatus	NCBITAXON	NCBITaxon_746128	F15767	unknown	Illumina Genome Analyzer II sequencing	ECO	ECO_0000222
