Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[GAZ_00000448]	Characteristics[Specimen Collection Country]	Term Source REF	Term Accession Number	Characteristics[OBI_0100026]	Term Source REF	Term Accession Number	Characteristics[Source Disease]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value [Specimen Collection Date]	Parameter Value [Specimen Collection Year]	Sample Name	Material Type	Term Source REF	Term Accession Number	Characteristics[OPL_0000232]	Term Source REF	Term Accession Number	Characteristics[PATO_0001034]	Characteristics[Environmental Feature]	Characteristics[Organism Detection Method]	Term Source REF	Term Accession Number	Comment[Description]
CUK1	host organism	GO	GO_0018995	Tepecikšren/Zerdali	Turkey	GAZ	http://purl.obolibrary.org/obo/GAZ_00000558	Homo sapiens	NCBITAXON	NCBITaxon_9606				sample collection	2005_09_23	2005	ERS026255	sample from organism	OBI	OBI_0000671	Leishmania infantum	NCBITAXON	NCBITaxon_5671	CUK1	unknown	Illumina HiSeq 2000 sequencing	ECO	ECO_0000222	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK1
CUK2	host organism	GO	GO_0018995	"Zerdali, house Y"	Turkey	GAZ	http://purl.obolibrary.org/obo/GAZ_00000558	Phlebotomus tobbi	NCBITAXON	NCBITaxon_33402				sample collection	2005_09_23	2005	ERS026256	sample from organism	OBI	OBI_0000671	Leishmania infantum	NCBITAXON	NCBITaxon_5671	CUK2	unknown	Illumina HiSeq 2000 sequencing	ECO	ECO_0000222	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK2
CUK3	host organism	GO	GO_0018995	"Otluk, house G"	Turkey	GAZ	http://purl.obolibrary.org/obo/GAZ_00000558	Phlebotomus tobbi	NCBITAXON	NCBITaxon_33402				sample collection	2005_09_26	2005	ERS026257	sample from organism	OBI	OBI_0000671	Leishmania infantum	NCBITAXON	NCBITaxon_5671	CUK3	unknown	Illumina HiSeq 2000 sequencing	ECO	ECO_0000222	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK3
CUK4	host organism	GO	GO_0018995	"Pirsuntanli, house S"	Turkey	GAZ	http://purl.obolibrary.org/obo/GAZ_00000558	Phlebotomus tobbi	NCBITAXON	NCBITaxon_33402				sample collection	2006_09_19	2006	ERS026258	sample from organism	OBI	OBI_0000671	Leishmania infantum	NCBITAXON	NCBITaxon_5671	CUK4	unknown	Illumina HiSeq 2000 sequencing	ECO	ECO_0000222	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK4
CUK5	host organism	GO	GO_0018995	"Boyali, house K"	Turkey	GAZ	http://purl.obolibrary.org/obo/GAZ_00000558	Phlebotomus tobbi	NCBITAXON	NCBITaxon_33402				sample collection	2006_09_19	2006	ERS026259	sample from organism	OBI	OBI_0000671	Leishmania infantum	NCBITAXON	NCBITaxon_5671	CUK5	unknown	Illumina HiSeq 2000 sequencing	ECO	ECO_0000222	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK5
CUK6	host organism	GO	GO_0018995	"Pirsuntanli, house S"	Turkey	GAZ	http://purl.obolibrary.org/obo/GAZ_00000558	Phlebotomus tobbi	NCBITAXON	NCBITaxon_33402				sample collection	2006_09_19	2006	ERS026260	sample from organism	OBI	OBI_0000671	Leishmania infantum	NCBITAXON	NCBITaxon_5671	CUK6	unknown	Illumina HiSeq 2000 sequencing	ECO	ECO_0000222	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK6
CUK7	host organism	GO	GO_0018995	"Pirsuntanli, house S"	Turkey	GAZ	http://purl.obolibrary.org/obo/GAZ_00000558	Phlebotomus tobbi	NCBITAXON	NCBITaxon_33402				sample collection	2006_09_19	2006	ERS026261	sample from organism	OBI	OBI_0000671	Leishmania infantum	NCBITAXON	NCBITaxon_5671	CUK7	unknown	Illumina HiSeq 2000 sequencing	ECO	ECO_0000222	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK7
CUK8	host organism	GO	GO_0018995	"Boyali, house K"	Turkey	GAZ	http://purl.obolibrary.org/obo/GAZ_00000558	Phlebotomus tobbi	NCBITAXON	NCBITaxon_33402				sample collection	2006_09_16	2006	ERS026262	sample from organism	OBI	OBI_0000671	Leishmania infantum	NCBITAXON	NCBITaxon_5671	CUK8	unknown	Illumina HiSeq 2000 sequencing	ECO	ECO_0000222	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK8
CUK9	host organism	GO	GO_0018995	"Bayandirli, house B"	Turkey	GAZ	http://purl.obolibrary.org/obo/GAZ_00000558	Phlebotomus tobbi	NCBITAXON	NCBITaxon_33402				sample collection	2007_09_25	2007	ERS026263	sample from organism	OBI	OBI_0000671	Leishmania infantum	NCBITAXON	NCBITaxon_5671	CUK9	unknown	Illumina HiSeq 2000 sequencing	ECO	ECO_0000222	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK9
CUK10	host organism	GO	GO_0018995	"Bayandirli, house A"	Turkey	GAZ	http://purl.obolibrary.org/obo/GAZ_00000558	Phlebotomus tobbi	NCBITAXON	NCBITaxon_33402				sample collection	2007_09_25	2007	ERS026264	sample from organism	OBI	OBI_0000671	Leishmania infantum	NCBITAXON	NCBITaxon_5671	CUK10	unknown	Illumina HiSeq 2000 sequencing	ECO	ECO_0000222	Illumina HiSeq 2000 paired end sequencing of Leishmania infantum strain CUK10
